game,resolution,sweet_spot_mode,sweet_spot_config,ssim,lpips,fps_norm,efficiency_score,is_pareto_optimal
blackmyth_medium,1080p,Ultra_Performance,1080p_Ultra_Performance,0.7398296155464495,0.2323352141739044,1.0,0.8383729354706482,True
blackmyth_medium,1440p,Ultra_Performance,1440p_Ultra_Performance,0.7350734618474852,0.2253810556352584,1.0,0.8395206690862289,True
blackmyth_medium,4K,Ultra_Performance,4K_Ultra_Performance,0.6998379369294954,0.2727881849439452,1.0,0.7945150852569167,True
cod_mw2_extreme,1080p,Ultra_Performance,1080p_Ultra_Performance,0.7002063855097371,0.3012074636680858,1.0,0.7793458089996487,True
cod_mw2_extreme,1440p,Ultra_Performance,1440p_Ultra_Performance,0.7373884423809537,0.2755304182393576,1.0,0.8136674727870726,True
cod_mw2_extreme,4K,Ultra_Performance,4K_Ultra_Performance,0.7134469765592629,0.3536816347993805,1.0,0.7582392419016135,True
cyberpunk,1080p,Ultra_Performance,1080p_Ultra_Performance,0.9168503536219512,0.1347870434665194,1.0,0.9884165504143867,True
cyberpunk,1440p,Performance,1440p_Performance,0.8708739778164386,0.1329665973536082,0.8,0.8841351928344071,True
cyberpunk,4K,Ultra_Performance,4K_Ultra_Performance,0.7618254718923927,0.3570813045167086,1.0,0.7829864797387539,True
forza_extreme,1080p,Ultra_Performance,1080p_Ultra_Performance,0.781566408667679,0.2183094466459729,1.0,0.8688955446334932,True
forza_extreme,1440p,Ultra_Performance,1440p_Ultra_Performance,0.6423691538147036,0.4217482998333665,1.0,0.6823621801128525,True
forza_extreme,4K,Ultra_Performance,4K_Ultra_Performance,0.7018602786248901,0.3561669167859748,1.0,0.750527577843436,True
forza_motorsport_ultra,1080p,Ultra_Performance,1080p_Ultra_Performance,0.8792822863802564,0.2140430795164081,1.0,0.9249023204592525,True
forza_motorsport_ultra,1440p,Ultra_Performance,1440p_Ultra_Performance,0.8799466074511991,0.2119616074227421,1.0,0.9263932450221288,True
forza_motorsport_ultra,4K,Ultra_Performance,4K_Ultra_Performance,0.8212222483571016,0.2804415530665626,1.0,0.8570814097262893,True
marvel_rivals_low,1080p,Performance,1080p_Performance,0.7850305263829582,0.1412362199078095,0.8,0.8324875045670361,True
marvel_rivals_low,1440p,Ultra_Performance,1440p_Ultra_Performance,0.7765599007800441,0.1822273915048058,1.0,0.885660738119888,True
marvel_rivals_low,4K,Ultra_Performance,4K_Ultra_Performance,0.698487381779534,0.3786677074283087,1.0,0.7365035309118411,True
rdr2_ultra,1080p,Ultra_Performance,1080p_Ultra_Performance,0.4959286618605256,0.480802040323615,1.0,0.5699450645936758,True
rdr2_ultra,1440p,Performance,1440p_Performance,0.5512654147810241,0.3611930285164086,0.8,0.5850505552801895,True
rdr2_ultra,4K,Ultra_Performance,4K_Ultra_Performance,0.5000279020400917,0.5290244496468478,1.0,0.5461146699477498,True
returnal_epic,1080p,Ultra_Performance,1080p_Ultra_Performance,0.8304114330322184,0.2056651486466962,1.0,0.9025772110708433,True
returnal_epic,1440p,Ultra_Performance,1440p_Ultra_Performance,0.8432419740288011,0.2116423834072933,1.0,0.9063951151818663,True
returnal_epic,4K,Ultra_Performance,4K_Ultra_Performance,0.8364644021046816,0.2318149404058642,1.0,0.8917593734187562,True
tomb_raider_highest_scene_1,1080p,Ultra_Performance,1080p_Ultra_Performance,0.8502442270393689,0.2003170855312426,1.0,0.9163689190858293,True
tomb_raider_highest_scene_1,1440p,Ultra_Performance,1440p_Ultra_Performance,0.9146359703847482,0.1545326051252017,1.0,0.9765194379562065,True
tomb_raider_highest_scene_1,4K,Ultra_Performance,4K_Ultra_Performance,0.8582841749013213,0.2334687738868705,1.0,0.9028557444129269,True
watch_dogs_legion_very_high,1080p,Ultra_Performance,1080p_Ultra_Performance,0.7558031805356343,0.1448936151322864,1.0,0.8944475493403297,True
watch_dogs_legion_very_high,1440p,Ultra_Performance,1440p_Ultra_Performance,0.6792951425484248,0.1878537378708521,1.0,0.8291662704903195,True
watch_dogs_legion_very_high,4K,Balanced,4K_Balanced,0.7937513106209891,0.1506163901516369,0.6,0.7522062983572231,True
