resolution,mode,ssim,ssim_rank,psnr,psnr_rank,lpips,lpips_rank,flip,flip_rank
1080p,Quality,0.8159350169465897,19,23.16342881961256,23,0.2002725591156499,17,6.511834087777645,26
1080p,Balanced,0.8659900792947052,9,25.20074202800815,9,0.1690004722023686,10,5.14726578411481,13
1080p,Performance,0.8352725442842389,16,23.880082084349027,18,0.1863266872123201,14,5.906928482546029,21
1080p,Ultra_Performance,0.8304114330322184,18,23.58029691326609,20,0.2056651486466962,20,6.2357155072773605,22
1080p,Quality,0.8596214268712087,10,27.37000038985873,4,0.151407675469812,8,3.148471896579157,2
1080p,Balanced,0.8331942338171836,17,25.7371517125504,8,0.2165157780731367,22,4.10978701599406,6
1080p,Performance,0.892989515268951,4,28.57733893224649,3,0.1491329291549461,7,2.6932873938588187,1
1080p,Ultra_Performance,0.8502442270393689,12,26.579300662035255,5,0.2003170855312426,18,3.648498708281774,5
1080p,Quality,0.7327548253203947,26,21.564238586609846,29,0.2462881536091944,28,9.202924533089424,29
1080p,Balanced,0.7321275093284894,27,21.368897941697465,30,0.2495990285175848,29,9.452799073641456,30
1080p,Performance,0.7266109899780845,31,21.267883498498097,31,0.2600989687381645,30,9.482006389547749,31
1080p,Ultra_Performance,0.7002063855097371,32,20.194105377890644,32,0.3012074636680858,34,10.9779647382313,34
1080p,Quality,0.730424984431575,29,24.417013194569176,16,0.1961240941841173,15,5.279620627004798,17
1080p,Balanced,0.7314493916009484,28,24.48876188281506,15,0.196754140183688,16,5.154626340610791,14
1080p,Performance,0.7289878454948004,30,24.07960949080417,17,0.2270605810028725,25,5.4940167040499555,18
1080p,Ultra_Performance,0.7398296155464495,25,24.667022604831217,14,0.2323352141739044,27,5.183691394102752,15
1080p,Quality,0.872908028975204,7,25.157717945014305,10,0.1159364929394656,2,4.779705942875177,10
1080p,Balanced,0.9082644160967976,3,26.392552573027594,6,0.0993742803111672,1,4.1248169707593005,7
