resolution,metric,effect_size,effect_label,std_dev,n_required
1440p,SSIM,0.2,small,0.08171903863511737,197
1440p,SSIM,0.5,medium,0.08171903863511737,32
1440p,SSIM,0.8,large,0.08171903863511737,13
1440p,SSIM,1.0,very_large,0.08171903863511737,8
1440p,LPIPS,0.2,small,0.07691903361174195,197
1440p,LPIPS,0.5,medium,0.07691903361174195,32
1440p,LPIPS,0.8,large,0.07691903361174195,13
1440p,LPIPS,1.0,very_large,0.07691903361174195,8
1080p,SSIM,0.2,small,0.08143883094914411,197
1080p,SSIM,0.5,medium,0.08143883094914411,32
1080p,SSIM,0.8,large,0.08143883094914411,13
1080p,SSIM,1.0,very_large,0.08143883094914411,8
1080p,LPIPS,0.2,small,0.07297756545324538,197
1080p,LPIPS,0.5,medium,0.07297756545324538,32
1080p,LPIPS,0.8,large,0.07297756545324538,13
1080p,LPIPS,1.0,very_large,0.07297756545324538,8
4K,SSIM,0.2,small,0.08264367000245179,197
4K,SSIM,0.5,medium,0.08264367000245179,32
4K,SSIM,0.8,large,0.08264367000245179,13
4K,SSIM,1.0,very_large,0.08264367000245179,8
4K,LPIPS,0.2,small,0.07736446977771079,197
4K,LPIPS,0.5,medium,0.07736446977771079,32
4K,LPIPS,0.8,large,0.07736446977771079,13
4K,LPIPS,1.0,very_large,0.07736446977771079,8
