comparison,resolution,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,x_dw,y_dw,x_autocorr,y_autocorr,effective_n,x_autocorr_interpretation,y_autocorr_interpretation
1080p_DLAA_vs_Quality,1080p,ssim,851,0.21769629698438336,1.3770304765719456e-10,0.24103464320836088,1.0300355202191798e-12,5.209201088408378e-05,0.0015003956815457548,0.9999739539945579,0.9992498021592271,283.74008383133287,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,lpips,851,-0.34631541510184616,2.1921125585650467e-25,-0.36649068519208555,1.9021751673698918e-28,5.209201088408378e-05,0.008104456818257586,0.9999739539945579,0.9959477715908712,284.05281510941586,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,flip,851,-0.43490757945017544,1.390844992383568e-40,-0.47261872222425405,1.436710171260782e-48,5.209201088408378e-05,0.008023068939788719,0.9999739539945579,0.9959884655301057,284.0489568407266,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,ssim,848,0.1972081830734048,6.9850641242453e-09,0.218830115911919,1.1848944620289967e-10,5.2578673721214326e-05,0.0008044413980649891,0.9999737106631394,0.9995977793009675,282.70704760237174,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,lpips,848,-0.22738205178458337,2.0892285995904244e-11,-0.2000569730200813,4.1862390163580354e-09,5.2578673721214326e-05,0.00681283959605083,0.9999737106631394,0.9965935802019746,282.9904746624866,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,flip,848,-0.35508812093563286,1.3342532598975096e-26,-0.3531891458097119,2.5706471437143364e-26,5.2578673721214326e-05,0.007126818042832317,0.9999737106631394,0.9964365909785838,283.0053012217264,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,ssim,851,0.20279431887555843,2.3822561983705824e-09,0.19948440130944745,4.361073856892266e-09,5.4342059887675835e-05,0.0014958963429579724,0.9999728289700561,0.9992520518285211,283.739977434907,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,lpips,851,-0.20213044279409964,2.6916442834429284e-09,-0.21533150459400752,2.1955607196461773e-10,5.4342059887675835e-05,0.009643250953060092,0.9999728289700561,0.9951783745234699,284.12588954020043,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,flip,851,-0.3247007842443231,2.4088348357056363e-22,-0.321454036311349,6.575356675799892e-22,5.4342059887675835e-05,0.009628300143814788,0.9999728289700561,0.9951858499280926,284.1251804104962,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,ssim,848,0.11140938756870095,0.0011555679193673046,0.14800674352931995,1.507982520024737e-05,5.999227326679316e-05,0.0016401217796643537,0.9999700038633667,0.9991799391101678,282.74678363004506,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
