comparison,resolution,mode,ssim,psnr,lpips,flip
1080p_DLAA_vs_Quality,1080p,Quality,0.730424984431575,24.417013194569176,0.19612409418411733,5.279620627004798
1440p_DLAA_vs_Ultra_Performance,1440p,Ultra_Performance,0.7350734618474852,24.70877747869293,0.22538105563525845,5.0721133904913795
1080p_DLAA_vs_Balanced,1080p,Balanced,0.7314493916009484,24.48876188281506,0.196754140183688,5.154626340610791
1440p_DLAA_vs_Balanced,1440p,Balanced,0.7225984981599843,24.37566807969523,0.19537582367582834,5.164901258118609
1440p_DLAA_vs_Quality,1440p,Quality,0.7111707229940396,23.799728623674994,0.21650587362757573,5.647137452490224
4K_DLAA_vs_Performance,4K,Performance,0.7010440780268211,23.166507339734885,0.2369500488660961,5.943649637937792
1080p_DLAA_vs_Performance,1080p,Performance,0.7289878454948004,24.07960949080417,0.22706058100287252,5.4940167040499555
4K_DLAA_vs_Balanced,4K,Balanced,0.6988770505567533,23.10836124964547,0.2324400466731799,5.9703433553668415
1440p_DLAA_vs_Performance,1440p,Performance,0.7226491027142642,24.26708684598563,0.2060859945032925,5.238745075595601
4K_DLAA_vs_Quality,4K,Quality,0.7168697599964503,23.71420621297839,0.1973400260502061,5.435899708433248
4K_DLAA_vs_Ultra_Performance,4K,Ultra_Performance,0.6998379369294954,23.18312969530119,0.27278818494394524,6.080695788420067
1080p_DLAA_vs_Ultra_Performance,1080p,Ultra_Performance,0.7398296155464495,24.667022604831214,0.23233521417390443,5.183691394102752
