resolution,mode,ssim,ssim_rank,psnr,psnr_rank,lpips,lpips_rank,flip,flip_rank
1080p,Quality,0.730424984431575,3,24.417013194569176,3,0.19612409418411733,1,5.279620627004798,3
1080p,Balanced,0.7314493916009484,2,24.48876188281506,2,0.196754140183688,2,5.154626340610791,1
1080p,Performance,0.7289878454948004,4,24.07960949080417,4,0.22706058100287252,3,5.4940167040499555,4
1080p,Ultra_Performance,0.7398296155464495,1,24.667022604831214,1,0.23233521417390443,4,5.183691394102752,2
1440p,Ultra_Performance,0.7350734618474852,1,24.70877747869293,1,0.22538105563525845,4,5.0721133904913795,1
1440p,Balanced,0.7225984981599843,3,24.37566807969523,2,0.19537582367582834,1,5.164901258118609,2
1440p,Quality,0.7111707229940396,4,23.799728623674994,4,0.21650587362757573,3,5.647137452490224,4
1440p,Performance,0.7226491027142642,2,24.26708684598563,3,0.2060859945032925,2,5.238745075595601,3
4K,Performance,0.7010440780268211,2,23.166507339734885,3,0.2369500488660961,3,5.943649637937792,2
4K,Balanced,0.6988770505567533,4,23.10836124964547,4,0.2324400466731799,2,5.9703433553668415,3
4K,Quality,0.7168697599964503,1,23.71420621297839,1,0.1973400260502061,1,5.435899708433248,1
4K,Ultra_Performance,0.6998379369294954,3,23.18312969530119,2,0.27278818494394524,4,6.080695788420067,4
