resolution,metric,effect_size,effect_label,std_dev,n_required
1440p,SSIM,0.2,small,0.072492519824337,197
1440p,SSIM,0.5,medium,0.072492519824337,32
1440p,SSIM,0.8,large,0.072492519824337,13
1440p,SSIM,1.0,very_large,0.072492519824337,8
1440p,LPIPS,0.2,small,0.05043338692901234,197
1440p,LPIPS,0.5,medium,0.05043338692901234,32
1440p,LPIPS,0.8,large,0.05043338692901234,13
1440p,LPIPS,1.0,very_large,0.05043338692901234,8
1080p,SSIM,0.2,small,0.06933798327025643,197
1080p,SSIM,0.5,medium,0.06933798327025643,32
1080p,SSIM,0.8,large,0.06933798327025643,13
1080p,SSIM,1.0,very_large,0.06933798327025643,8
1080p,LPIPS,0.2,small,0.051921090990436056,197
1080p,LPIPS,0.5,medium,0.051921090990436056,32
1080p,LPIPS,0.8,large,0.051921090990436056,13
1080p,LPIPS,1.0,very_large,0.051921090990436056,8
4K,SSIM,0.2,small,0.06662773783938762,197
4K,SSIM,0.5,medium,0.06662773783938762,32
4K,SSIM,0.8,large,0.06662773783938762,13
4K,SSIM,1.0,very_large,0.06662773783938762,8
4K,LPIPS,0.2,small,0.05396641848499231,197
4K,LPIPS,0.5,medium,0.05396641848499231,32
4K,LPIPS,0.8,large,0.05396641848499231,13
4K,LPIPS,1.0,very_large,0.05396641848499231,8
