comparison,metric,n_samples,test,statistic,p_value,significant,significant_bonferroni,mean_difference,ci_95_lower,ci_95_upper,cohens_d,effect_magnitude
1080p_DLAA_vs_Quality,ssim,851,paired_t_test,-113.61832556082335,0.0,True,True,-0.26957501556842506,-0.27423192924989476,-0.26491810188695536,-3.89478603881969,large
1080p_DLAA_vs_Quality,lpips,851,paired_t_test,109.77436578418542,0.0,True,True,0.19612409418411733,0.19261740763199442,0.19963078073624024,3.763016794748063,large
1080p_DLAA_vs_Quality,flip,851,paired_t_test,100.29369611766856,0.0,True,True,5.279620627004798,5.176297863349523,5.382943390660072,3.438023624204953,large
1440p_DLAA_vs_Ultra_Performance,ssim,848,paired_t_test,-116.96534147086035,0.0,True,True,-0.26492653815251477,-0.26937220995972583,-0.2604808663453037,-4.016606316722091,large
1440p_DLAA_vs_Ultra_Performance,lpips,848,paired_t_test,130.10819548112707,0.0,True,True,0.22538105563525845,0.22198103242045014,0.22878107885006677,4.467933776408472,large
1440p_DLAA_vs_Ultra_Performance,flip,848,paired_t_test,106.26949277118221,0.0,True,True,5.0721133904913795,4.978432831519649,5.16579394946311,3.64930936439768,large
1080p_DLAA_vs_Balanced,ssim,851,paired_t_test,-112.08140896242874,0.0,True,True,-0.2685506083990516,-0.273253440701574,-0.2638477760965292,-3.8421012163607187,large
1080p_DLAA_vs_Balanced,lpips,851,paired_t_test,104.58050962490044,0.0,True,True,0.196754140183688,0.19306147391174072,0.20044680645563528,3.5849736986456504,large
1080p_DLAA_vs_Balanced,flip,851,paired_t_test,101.0383806148658,0.0,True,True,5.154626340610791,5.05449322126925,5.254759459952331,3.463551079997783,large
1440p_DLAA_vs_Balanced,ssim,848,paired_t_test,-112.06838941661154,0.0,True,True,-0.2774015018400156,-0.28225991902870984,-0.2725430846513214,-3.848444292771763,large
1440p_DLAA_vs_Balanced,lpips,848,paired_t_test,110.01684511853905,0.0,True,True,0.19537582367582834,0.1918901978694579,0.19886144948219878,3.777993972334525,large
1440p_DLAA_vs_Balanced,flip,848,paired_t_test,101.25969394426842,0.0,True,True,5.164901258118609,5.064787321236822,5.265015195000395,3.4772721663640906,large
1440p_DLAA_vs_Quality,ssim,848,paired_t_test,-129.23861213944804,0.0,True,True,-0.28882927700596034,-0.29321577620809514,-0.28444277780382554,-4.438072161855118,large
1440p_DLAA_vs_Quality,lpips,848,paired_t_test,123.53229309198875,0.0,True,True,0.21650587362757573,0.21306587470221824,0.2199458725529332,4.24211636124758,large
