comparison,resolution,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,x_dw,y_dw,x_autocorr,y_autocorr,effective_n,x_autocorr_interpretation,y_autocorr_interpretation
1080p_DLAA_vs_Quality,1080p,ssim,354,-0.03723707713236141,0.48494224892339743,-0.031862970330428855,0.5501538308381402,0.002127419559458078,0.012276350363456997,0.998936290220271,0.9938618248182715,118.28395581418664,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,lpips,354,0.17798193579360871,0.0007688780560259215,0.2701178997556696,2.462865141171598e-07,0.002127419559458078,0.1297673883839591,0.998936290220271,0.9351163058080204,120.65223386901636,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,flip,354,-4.82595905854713e-05,0.9992780842447365,0.113088415507376,0.03341607574326776,0.002127419559458078,0.3584433320521453,0.998936290220271,0.8207783339739274,125.54461964432448,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,ssim,354,0.11178057851406542,0.03552759652301192,0.14563641869917765,0.00604939596380967,0.0016239013437446014,0.006144994569480857,0.9991880493281277,0.9969275027152595,118.152986375498,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,lpips,354,0.2323624121447613,1.0007435711034541e-05,0.2469590318442471,2.5621799150453903e-06,0.0016239013437446014,0.06854791650250863,0.9991880493281277,0.9657260417487457,119.39637680072721,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,flip,354,0.050206662127996904,0.34625108926722076,0.08693334344992272,0.10247974553222657,0.0016239013437446014,0.1501080946972843,0.9991880493281277,0.9249459526513578,121.06148342051375,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,ssim,354,0.04771381013420893,0.37075247418470264,0.05853733784775906,0.2720210432298772,0.01709510042806576,0.011914127450307928,0.9914524497859671,0.9940429362748461,118.5732865817898,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,lpips,354,0.13481029433589137,0.01111475022353949,0.2025658039677642,0.0001242266457535818,0.01709510042806576,0.1107192659027328,0.9914524497859671,0.9446403670486336,120.56839551198082,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,flip,354,-0.03243109798073684,0.5430618990819553,-0.03894353517119444,0.4651433561210986,0.01709510042806576,0.31808593558981135,0.9914524497859671,0.8409570322050943,124.98192872562808,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,ssim,354,-0.018026571101017685,0.7353663519717732,-0.010524424938095108,0.843576353521339,0.0027315217976548543,0.011882264562443673,0.9986342391011725,0.9940588677187782,118.28810618545582,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,lpips,354,0.17796665522232674,0.0007696960585189554,0.25287624012343557,1.4387093920988746e-06,0.0027315217976548543,0.08212877076376265,0.9986342391011725,0.9589356146181187,119.69286187943368,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,flip,354,-0.039523543213076176,0.4585172419459393,0.03772881273391209,0.4791907801031725,0.0027315217976548543,0.21464254225370524,0.9986342391011725,0.8926787288731474,122.43572519512324,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,ssim,354,-0.05204065707402955,0.3288970978360981,-0.018995073884152364,0.7217220238504272,0.0020172711041663884,0.009797137833542085,0.9989913644479168,0.9951014310832289,118.23280845816309,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,lpips,354,0.1393235609663786,0.008667446913389767,0.21409961038055667,4.882070370054141e-05,0.0020172711041663884,0.09052175280849385,0.9989913644479168,0.9547391235957531,119.84844298860291,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,flip,354,-0.12772889780528127,0.016191860294519852,-0.10684179437769947,0.0445519811832044,0.0020172711041663884,0.30028230280714563,0.9989913644479168,0.8498588485964271,124.26065729223012,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,ssim,354,0.05133317919186037,0.33552388386745485,0.10665874078925155,0.04492047029876998,0.0036747168761816344,0.010442370159946897,0.9981626415619091,0.9947788149200265,118.27829082100077,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,lpips,354,0.23559180066442062,7.458202012526999e-06,0.2644732120470712,4.450358363820883e-07,0.0036747168761816344,0.06713951966459103,0.9981626415619091,0.9664302401677045,119.40931322531816,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,flip,354,-0.034216524335906606,0.5210737997843099,0.07233497002571178,0.17448264284157622,0.0036747168761816344,0.2749824874269138,0.9981626415619091,0.8625087562865431,123.74717357129796,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Performance,1080p,ssim,354,-0.10535381180630762,0.04762214330757079,-0.011428554961061361,0.8303338100821025,0.00551581962995925,0.009336510339725568,0.9972420901850204,0.9953317448301372,118.2928206676,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Performance,1080p,lpips,354,0.13145776032694545,0.013309955241835793,0.25885097928474204,7.915858947632975e-07,0.00551581962995925,0.08730683733659662,0.9972420901850204,0.9563465813317017,119.85419751024928,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Performance,1080p,flip,354,0.037623579465703424,0.4804184891912877,0.10977538875042395,0.038984612335523985,0.00551581962995925,0.19950281584140317,0.9972420901850204,0.9002485920792984,122.17468106691463,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Balanced,4K,ssim,355,-0.16929203541104196,0.0013666841685132114,-0.06623888041014138,0.21313093520525883,0.005837515184782872,0.010125833938405826,0.9970812424076085,0.9949370830307971,118.64900591742986,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Balanced,4K,lpips,355,0.3637030659600546,1.5251754192618042e-12,0.36168731819149974,2.0639470604662483e-12,0.005837515184782872,0.04514867629879378,0.9970812424076085,0.9774256618506031,119.3475125210814,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Balanced,4K,flip,355,0.2570629218499412,9.149771606943963e-07,0.23967558742605022,4.9560632229556595e-06,0.005837515184782872,0.10528691027701012,0.9970812424076085,0.9473565448614949,120.56631032753255,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Performance,1440p,ssim,354,0.14251040183015387,0.007240964229075375,0.1331413848716258,0.012163927112309639,0.0025463046022770885,0.011045330076134572,0.9987268476988614,0.9944773349619327,118.26790903563199,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Performance,1440p,lpips,354,0.16459965967478912,0.0018887468324825314,0.24190379727368627,4.147514351431501e-06,0.0025463046022770885,0.09576635230848253,0.9987268476988614,0.9521168238457587,119.96569096955874,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
