comparison,resolution,mode,ssim,psnr,lpips,flip
1080p_DLAA_vs_Quality,1080p,Quality,0.7327548253203947,21.564238586609846,0.24628815360919448,9.202924533089423
1440p_DLAA_vs_Ultra_Performance,1440p,Ultra_Performance,0.7373884423809537,21.362718886443346,0.27553041823935764,9.518326827077626
1080p_DLAA_vs_Balanced,1080p,Balanced,0.7321275093284894,21.368897941697465,0.24959902851758486,9.452799073641456
1440p_DLAA_vs_Balanced,1440p,Balanced,0.7118029781498179,20.334587857022544,0.2989258666459578,10.748045523887722
1440p_DLAA_vs_Quality,1440p,Quality,0.7286035082918607,21.00625786994009,0.26684768664082353,10.065184919468765
4K_DLAA_vs_Performance,4K,Performance,0.7275173425000939,19.318146135356113,0.3225747184843709,11.61757943354084
1080p_DLAA_vs_Performance,1080p,Performance,0.7266109899780845,21.267883498498094,0.2600989687381645,9.482006389547749
4K_DLAA_vs_Balanced,4K,Balanced,0.7196223639266591,18.941152521622634,0.341267079345777,12.254777179637426
1440p_DLAA_vs_Performance,1440p,Performance,0.7263640465351653,20.91795927282219,0.2705571521466564,9.883517841471749
4K_DLAA_vs_Quality,4K,Quality,0.7861032868774844,21.75106391196266,0.21849604146686238,8.385639266229012
4K_DLAA_vs_Ultra_Performance,4K,Ultra_Performance,0.7134469765592629,18.3879071857741,0.35368163479938053,13.486158609390259
1080p_DLAA_vs_Ultra_Performance,1080p,Ultra_Performance,0.7002063855097371,20.194105377890644,0.3012074636680858,10.9779647382313
