resolution,mode,ssim,ssim_rank,psnr,psnr_rank,lpips,lpips_rank,flip,flip_rank
1080p,Quality,0.7327548253203947,1,21.564238586609846,1,0.24628815360919448,1,9.202924533089423,1
1080p,Balanced,0.7321275093284894,2,21.368897941697465,2,0.24959902851758486,2,9.452799073641456,2
1080p,Performance,0.7266109899780845,3,21.267883498498094,3,0.2600989687381645,3,9.482006389547749,3
1080p,Ultra_Performance,0.7002063855097371,4,20.194105377890644,4,0.3012074636680858,4,10.9779647382313,4
1440p,Ultra_Performance,0.7373884423809537,1,21.362718886443346,1,0.27553041823935764,3,9.518326827077626,1
1440p,Balanced,0.7118029781498179,4,20.334587857022544,4,0.2989258666459578,4,10.748045523887722,4
1440p,Quality,0.7286035082918607,2,21.00625786994009,2,0.26684768664082353,1,10.065184919468765,3
1440p,Performance,0.7263640465351653,3,20.91795927282219,3,0.2705571521466564,2,9.883517841471749,2
4K,Performance,0.7275173425000939,2,19.318146135356113,2,0.3225747184843709,2,11.61757943354084,2
4K,Balanced,0.7196223639266591,3,18.941152521622634,3,0.341267079345777,3,12.254777179637426,3
4K,Quality,0.7861032868774844,1,21.75106391196266,1,0.21849604146686238,1,8.385639266229012,1
4K,Ultra_Performance,0.7134469765592629,4,18.3879071857741,4,0.35368163479938053,4,13.486158609390259,4
