resolution,metric,effect_size,effect_label,std_dev,n_required
1440p,SSIM,0.2,small,0.1260393176238401,197
1440p,SSIM,0.5,medium,0.1260393176238401,32
1440p,SSIM,0.8,large,0.1260393176238401,13
1440p,SSIM,1.0,very_large,0.1260393176238401,8
1440p,LPIPS,0.2,small,0.12666190890806375,197
1440p,LPIPS,0.5,medium,0.12666190890806375,32
1440p,LPIPS,0.8,large,0.12666190890806375,13
1440p,LPIPS,1.0,very_large,0.12666190890806375,8
1080p,SSIM,0.2,small,0.12545301061026765,197
1080p,SSIM,0.5,medium,0.12545301061026765,32
1080p,SSIM,0.8,large,0.12545301061026765,13
1080p,SSIM,1.0,very_large,0.12545301061026765,8
1080p,LPIPS,0.2,small,0.1192012293027904,197
1080p,LPIPS,0.5,medium,0.1192012293027904,32
1080p,LPIPS,0.8,large,0.1192012293027904,13
1080p,LPIPS,1.0,very_large,0.1192012293027904,8
4K,SSIM,0.2,small,0.12979785128660723,197
4K,SSIM,0.5,medium,0.12979785128660723,32
4K,SSIM,0.8,large,0.12979785128660723,13
4K,SSIM,1.0,very_large,0.12979785128660723,8
4K,LPIPS,0.2,small,0.11316744629199947,197
4K,LPIPS,0.5,medium,0.11316744629199947,32
4K,LPIPS,0.8,large,0.11316744629199947,13
4K,LPIPS,1.0,very_large,0.11316744629199947,8
