comparison,metric,n_samples,test,statistic,p_value,significant,significant_bonferroni,mean_difference,ci_95_lower,ci_95_upper,cohens_d,effect_magnitude
1080p_DLAA_vs_Quality,ssim,354,paired_t_test,-38.25556833618504,1.2648649103333122e-127,True,True,-0.26724517467960524,-0.28098416696071704,-0.25350618239849343,-2.033260516935863,large
1080p_DLAA_vs_Quality,lpips,354,paired_t_test,37.94904271409949,1.243983078817304e-126,True,True,0.24628815360919448,0.23352428387184188,0.2590520233465471,2.016968863931554,large
1080p_DLAA_vs_Quality,flip,354,paired_t_test,31.047953258251354,5.913329482374461e-103,True,True,9.202924533089423,8.61997286380854,9.785876202370305,1.6501800976241363,large
1440p_DLAA_vs_Ultra_Performance,ssim,354,paired_t_test,-39.626788860061886,5.249757692101284e-132,True,True,-0.26261155761904637,-0.2756451645750809,-0.2495779506630118,-2.1061400655210485,large
1440p_DLAA_vs_Ultra_Performance,lpips,354,paired_t_test,46.25388798876986,6.906033308590893e-152,True,True,0.27553041823935764,0.2638149143494012,0.2872459221293141,2.4583664102405614,large
1440p_DLAA_vs_Ultra_Performance,flip,354,paired_t_test,38.496620282682095,2.1122486482864907e-128,True,True,9.518326827077626,9.032056605319575,10.004597048835677,2.046072283344242,large
1080p_DLAA_vs_Balanced,ssim,354,paired_t_test,-39.38030822677594,3.167542200959421e-131,True,True,-0.26787249067151064,-0.2812504130027566,-0.2544945683402647,-2.093039767665177,large
1080p_DLAA_vs_Balanced,lpips,354,paired_t_test,38.829512302587084,1.803928451037673e-129,True,True,0.24959902851758486,0.23695688779426421,0.2622411692409055,2.063765294581919,large
1080p_DLAA_vs_Balanced,flip,354,paired_t_test,29.362787977902396,8.817719945785989e-97,True,True,9.452799073641456,8.81965462551072,10.085943521772192,1.560614573490915,large
1440p_DLAA_vs_Balanced,ssim,354,paired_t_test,-39.48412680478831,1.4844391060347012e-131,True,True,-0.2881970218501822,-0.3025521348695991,-0.2738419088307653,-2.0985576628312335,large
1440p_DLAA_vs_Balanced,lpips,354,paired_t_test,46.09367888464286,1.976087771716261e-151,True,True,0.2989258666459578,0.2861714150327113,0.31168031825920434,2.4498513924263583,large
1440p_DLAA_vs_Balanced,flip,354,paired_t_test,33.17980111960971,1.5229265857824583e-110,True,True,10.748045523887722,10.110963451414623,11.385127596360821,1.7634865330826863,large
1440p_DLAA_vs_Quality,ssim,354,paired_t_test,-38.75583897653886,3.106041562572915e-129,True,True,-0.27139649170813923,-0.28516880051298304,-0.2576241829032954,-2.0598496014810146,large
1440p_DLAA_vs_Quality,lpips,354,paired_t_test,43.33218738691235,2.228603695553691e-143,True,True,0.26684768664082353,0.25473633830563286,0.2789590349760142,2.3030797752634107,large
1440p_DLAA_vs_Quality,flip,354,paired_t_test,25.668764191709254,9.926690822882943e-83,True,True,10.065184919468765,9.294003666759595,10.836366172177934,1.364279424393573,large
4K_DLAA_vs_Performance,ssim,354,paired_t_test,-37.974633517730766,1.0274124362866894e-126,True,True,-0.272482657499906,-0.28659453963303433,-0.2583707753667777,-2.0183289997989093,large
4K_DLAA_vs_Performance,lpips,354,paired_t_test,53.59390302586955,1.1809237459580917e-171,True,True,0.3225747184843709,0.3107373652809198,0.33441207168782205,2.8484838079876993,large
4K_DLAA_vs_Performance,flip,354,paired_t_test,37.24319794085501,2.5090211318813578e-124,True,True,11.61757943354084,11.004088214762643,12.231070652319037,1.9794536374967644,large
1080p_DLAA_vs_Performance,ssim,354,paired_t_test,-40.90375104390762,5.308964771840683e-136,True,True,-0.27338901002191557,-0.2865339189455783,-0.26024410109825286,-2.17400983985604,large
1080p_DLAA_vs_Performance,lpips,354,paired_t_test,40.74010901113134,1.7078175206091704e-135,True,True,0.2600989687381645,0.247542829906281,0.272655107570048,2.165312363942699,large
1080p_DLAA_vs_Performance,flip,354,paired_t_test,35.89478215883804,7.50287020366671e-120,True,True,9.482006389547749,8.962478834255005,10.001533944840492,1.9077861472664592,large
4K_DLAA_vs_Balanced,ssim,355,paired_t_test,-38.31541041555162,5.336799316365103e-128,True,True,-0.2803776360733408,-0.2947691119135942,-0.26598616023308747,-2.033570837957705,large
4K_DLAA_vs_Balanced,lpips,355,paired_t_test,56.48394860328426,3.577412753351259e-179,True,True,0.341267079345777,0.32938466228734653,0.35314949640420745,2.9978567225713237,large
4K_DLAA_vs_Balanced,flip,355,paired_t_test,47.32407490159466,3.736793680377814e-155,True,True,12.254777179637426,11.745494705480668,12.764059653794183,2.5117011043198443,large
1440p_DLAA_vs_Performance,ssim,354,paired_t_test,-39.44819430699154,1.929414726522094e-131,True,True,-0.2736359534648347,-0.2872781937995944,-0.259993713130075,-2.096647872120428,large
1440p_DLAA_vs_Performance,lpips,354,paired_t_test,45.463774843880884,1.264820746077084e-149,True,True,0.2705571521466564,0.25885318235521976,0.282261121938093,2.416372370384795,large
1440p_DLAA_vs_Performance,flip,354,paired_t_test,31.73654589657607,1.9653354616058897e-105,True,True,9.883517841471749,9.271038339995467,10.49599734294803,1.686778383433265,large
4K_DLAA_vs_Quality,ssim,355,paired_t_test,-33.871234023530924,4.2267692245366754e-113,True,True,-0.21389671312251562,-0.2263163396557377,-0.20147708658929356,-1.7976984458435081,large
4K_DLAA_vs_Quality,lpips,355,paired_t_test,36.519949267344444,4.1681178319781654e-122,True,True,0.21849604146686238,0.20672949937687776,0.230262583556847,1.9382776545601914,large
4K_DLAA_vs_Quality,flip,355,paired_t_test,28.971781643884437,1.9399470538957433e-95,True,True,8.385639266229012,7.816397945424968,8.954880587033054,1.5376625132212758,large
4K_DLAA_vs_Ultra_Performance,ssim,355,paired_t_test,-37.061936781496605,6.657527527004632e-124,True,True,-0.28655302344073713,-0.30175893041259305,-0.2713471164688812,-1.9670433650501324,large
4K_DLAA_vs_Ultra_Performance,lpips,355,paired_t_test,57.255106206665914,4.7197197369578673e-181,True,True,0.35368163479938053,0.34153282508709004,0.365830444511671,3.0387855184969905,large
4K_DLAA_vs_Ultra_Performance,flip,355,paired_t_test,37.65659913557856,7.410988084198753e-126,True,True,13.486158609390259,12.781818187904065,14.190499030876452,1.9986047657653265,large
1080p_DLAA_vs_Ultra_Performance,ssim,354,paired_t_test,-39.80518585787572,1.4357834580337346e-132,True,True,-0.29979361449026287,-0.31460591067908245,-0.2849813183014433,-2.1156217589782513,large
1080p_DLAA_vs_Ultra_Performance,lpips,354,paired_t_test,45.15949685747228,9.569876615737258e-149,True,True,0.3012074636680858,0.2880898057868488,0.31432512154932285,2.4002001778689097,large
