comparison_ds1,resolution,mode,frames_ds1,ssim_mean_ds1,ssim_std_ds1,psnr_mean_ds1,psnr_std_ds1,lpips_mean_ds1,lpips_std_ds1,flip_mean_ds1,flip_std_ds1,vmaf_mean_ds1,vmaf_std_ds1,comparison_ds2,frames_ds2,ssim_mean_ds2,ssim_std_ds2,psnr_mean_ds2,psnr_std_ds2,lpips_mean_ds2,lpips_std_ds2,flip_mean_ds2,flip_std_ds2,vmaf_mean_ds2,vmaf_std_ds2,delta_ssim,delta_psnr,delta_lpips,delta_flip,delta_vmaf,ssim_change_pct,psnr_change_pct
1440p_DLAA_Consistency,1440p,Consistency,398,0.7388822541322692,0.08721351360982176,20.420438115770555,2.593302190979194,0.2648060626944705,0.06684593828652918,8.630412016697663,2.885396492833079,4.602436,7.5297669901400095,1440p_DLAA_Consistency,399,0.8517546617999747,0.07323306869435754,24.301043066635025,3.449339291095953,0.13709753073919984,0.05528552597527966,5.34437912356983,2.419029765453801,31.126356,19.876284607026385,0.11287240766770557,3.8806049508644698,-0.12770853195527065,-3.2860328931278335,26.52392,15.276102117279974,19.003534247717766
1080p_DLAA_vs_Quality,1080p,Quality,392,0.761175926054408,0.08358036738922493,23.365549634917397,2.247168163280903,0.3309903808166178,0.069328847426303,6.866941021462476,1.9661203081469714,3.410767,5.368377604903998,1080p_DLAA_vs_Quality,398,0.8625239559094855,0.07665671696904772,25.160958292699085,3.6968873263110753,0.11612708788908008,0.04851425281506779,4.927930545225889,2.308872723537905,38.53791,19.40677034527084,0.10134802985507751,1.7954086577816888,-0.21486329292753772,-1.9390104762365867,35.127143,13.31466568844602,7.683999246046566
1440p_DLAA_vs_Ultra_Performance,1440p,Ultra_Performance,398,0.5623712946687617,0.11518283378208079,13.400567837084136,2.597542722280839,0.6149775611994853,0.06749760400849723,25.00726547113415,8.414010768930268,0.003568,0.17608933094200055,1440p_DLAA_vs_Ultra_Performance,399,0.7804257734440999,0.07826603334860786,21.998682351561758,2.483438071212878,0.22376026058182083,0.060141747616758834,7.111864742235499,2.509594217461279,21.519671,15.342638046700138,0.21805447877533823,8.598114514477622,-0.39121730061766447,-17.89540072889865,21.516102999999998,38.77411255561559,64.16231475418215
1080p_DLAA_vs_Balanced,1080p,Balanced,393,0.8091581371000205,0.07165919793802573,25.73259351158893,2.118265648165983,0.20695759024253024,0.04579465477316601,4.990796433762967,1.2904430501803026,11.368774,11.786220168941396,1080p_DLAA_vs_Balanced,398,0.9014043221260586,0.06408012517518792,26.392926560472727,4.454730079128235,0.0996197095590096,0.042733480065699554,4.261304565028315,2.3873440757760784,52.682516,19.417423974743798,0.0922461850260381,0.6603330488837962,-0.10733788068352064,-0.7294918687346525,41.313742,11.40026662237415,2.5661348460131257
1440p_DLAA_vs_Balanced,1440p,Balanced,398,0.5586446200314704,0.11161535296865276,13.415419649423493,2.5814410208418455,0.6156132407673639,0.06515784122665134,24.885483630514226,8.265223506108866,0.005353,0.22387471221721933,1440p_DLAA_vs_Balanced,398,0.791547179695492,0.07380963901251074,22.4478598479808,2.555044638945702,0.1833706582011889,0.05340814981068925,6.50958353201282,2.366412229413542,39.086015,18.965788848370487,0.23290255966402162,9.032440198557309,-0.432242582566175,-18.375900098501408,39.080662000000004,41.69064756247029,67.3287935420303
1440p_DLAA_vs_Quality,1440p,Quality,398,0.5117156607422738,0.14528610464320357,12.976515368265185,2.252800075396188,0.6573681379083413,0.06754525487954402,26.503520007450312,7.420415167664854,0.022562,0.2886823102893796,1440p_DLAA_vs_Quality,399,0.7766498832864269,0.0867081523397339,22.062859777871566,2.829392806040131,0.20759651195584683,0.06787132186273379,7.082790089253761,2.7628308597221096,26.847044,18.24717884444147,0.2649342225441531,9.086344409606381,-0.4497716259524944,-19.42072991819655,26.824482,51.773717880717264,70.0214514585908
4K_DLAA_vs_Performance,4K,Performance,399,0.7327106326243702,0.0887089590569964,19.255850269905192,2.892368977090791,0.34350598601619703,0.08039807557102037,10.267979470046463,3.8244448371986124,,,4K_DLAA_vs_Performance,398,0.836680693211695,0.07139383463428584,23.423971862374103,2.931312404523345,0.1530861033117352,0.05134535916387641,5.707548166844543,2.174369066561887,,,0.10397006058732483,4.168121592468911,-0.19041988270446183,-4.56043130320192,,14.18978461045834,21.646001262189046
1080p_DLAA_Consistency,1080p,Consistency,392,0.7944719495884051,0.07698452252160902,24.851958468125112,2.3312093981184816,0.23432022093662194,0.05934233491323661,5.584535126170693,1.5485774291631076,8.533503,8.7494295603616,1080p_DLAA_Consistency,398,0.81208951122692,0.07980934428509602,23.546300478300743,3.0364255666426696,0.14215791567074293,0.04650937367251105,5.70942860037068,2.074656895349754,22.122243,15.155862373073807,0.01761756163851491,-1.3056579898243683,-0.09216230526587901,0.12489347419998698,13.588740000000001,2.217518396671161,-5.25374284485061
1080p_DLAA_vs_Performance,1080p,Performance,392,0.9010160905106819,0.047756744065617834,29.334484247757857,2.56959990180641,0.12919861950664496,0.03131354114202424,3.316948076105442,1.0680612200890074,43.94816,16.579517981114392,1080p_DLAA_vs_Performance,398,0.861724406013828,0.06387938260808075,24.75429559971672,3.404568772287525,0.12417039301377444,0.04105698763200726,5.033537481485359,1.8936331920002392,28.778287,16.10580757875405,-0.03929168449685383,-4.580188648041137,-0.005028226492870519,1.716589405379917,-15.169873000000003,-4.360819402746062,-15.613666868512329
4K_DLAA_vs_Balanced,4K,Balanced,397,0.7295619317219215,0.08696899279393673,19.11546872660139,2.8285091988956013,0.35153458117312686,0.08205097842524513,10.433318829678049,3.8278176830697626,,,4K_DLAA_vs_Balanced,398,0.789677135416748,0.07673573690284732,21.887551589928048,2.58849334544108,0.21436660351166173,0.06699119552165078,6.96409559938909,2.4529317786639906,,,0.06011520369482648,2.772082863326659,-0.13716797766146513,-3.469223230288959,,8.239904123415787,14.501778130446704
