comparison,resolution,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,x_dw,y_dw,x_autocorr,y_autocorr,effective_n,x_autocorr_interpretation,y_autocorr_interpretation
1080p_DLAA_vs_Quality,1080p,ssim,10,,,,,0.0,3.1373200724119095e-05,1.0,0.9999843133996379,3.333350762980429,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,lpips,10,,,,,0.0,0.0026754917908550137,1.0,0.9986622541045725,3.334820380758783,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,flip,10,,,,,0.0,0.0016644896755970086,1.0,0.9991677551622015,3.3342583064211353,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,ssim,384,0.2733244216502977,5.252003966469071e-08,0.23805015939774185,2.3865257693117934e-06,0.0002731115236069928,0.0017919513352345929,0.9998634442381965,0.9991040243323827,128.04406984215433,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,lpips,384,-0.17596680361589861,0.0005320933476407585,-0.0924109052427313,0.07047505958938781,0.0002731115236069928,0.001094511275890575,0.9998634442381965,0.9994527443620547,128.02918260485524,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,flip,384,-0.18043137699419382,0.00038028835085001484,-0.191508753293761,0.00015964956447721813,0.0002731115236069928,0.0067547985061163825,0.9998634442381965,0.9966226007469418,128.1501045675334,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,ssim,10,,,,,0.0,0.000192867194233372,1.0,0.9999035664028834,3.333440485218921,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,lpips,10,,,,,0.0,0.00803315631676415,1.0,0.9959834218416179,3.3378021811125524,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,flip,10,,,,,0.0,0.003774951505617551,1.0,0.9981125242471912,3.3354318489133234,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,ssim,384,-0.08018455931202183,0.11671918975716661,0.02488652665890094,0.6268538895951006,0.0005005376810550457,0.00185500941431601,0.9997497311594725,0.999072495292842,128.05027140747924,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,lpips,384,0.11549332808836235,0.023611136883731208,0.04147849895008418,0.41764810243288486,0.0005005376810550457,0.0010433917878543305,0.9997497311594725,0.9994783041060729,128.03294563962737,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,flip,384,-0.02097926464429764,0.6819432718492329,-0.10545044041482342,0.03888296736432631,0.0005005376810550457,0.006458324701347556,0.9997497311594725,0.9967708376493262,128.14862811125332,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,ssim,333,0.008434070496122631,0.8781369867358887,0.10579478939521368,0.053764361681651926,0.0008917640868416991,0.002077296957110864,0.9995541179565791,0.9989613515214446,111.05495482335066,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,lpips,333,0.0016578237308635668,0.9759564302178161,-0.042472884809894494,0.4398232860833331,0.0008917640868416991,0.0007910215405196984,0.9995541179565791,0.9996044892297401,111.03114026783871,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,flip,333,-0.06739928443334121,0.21993836790098595,-0.1693682459715446,0.0019254584183159402,0.0008917640868416991,0.007244320315511136,0.9995541179565791,0.9963778398422445,111.1507219425178,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,ssim,310,0.150938693678009,0.00776588614797845,0.2592093154379457,3.751447276498507e-06,0.0007825774244584347,0.0019731831376104104,0.9996087112877707,0.9990134084311948,103.38081546235428,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,lpips,310,-0.14192932896487587,0.01236668934131734,-0.24389141576006554,1.408342348520833e-05,0.0007825774244584347,0.0009367501238187998,0.9996087112877707,0.9995316249380906,103.36295246193986,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,flip,310,-0.24461973159691608,1.3250172972649028e-05,-0.31242151811739993,1.91155575164724e-08,0.0007825774244584347,0.005941183666284112,0.9996087112877707,0.9970294081668579,103.44926135305862,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Performance,1080p,ssim,392,0.011017697896043947,0.8278582381276876,-0.003150557574062479,0.9504204367540955,0.0003196812012181042,0.0015202396384727031,0.999840159399391,0.9992398801807636,130.70674834502805,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Performance,1080p,lpips,392,0.053962621107444445,0.2865275482745076,0.05400773530504267,0.28612427315654226,0.0003196812012181042,0.03287856736349584,0.999840159399391,0.983560716318252,131.39367330436485,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Performance,1080p,flip,392,0.044856376952652204,0.3757680525060723,0.07549673138630794,0.13566880777836726,0.0003196812012181042,0.052861016910075546,0.999840159399391,0.9735694915449622,131.8351811616341,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Balanced,4K,ssim,397,-0.04612569097866075,0.3593324104122628,0.10169501929815367,0.04285477530444371,0.0008479185932068215,0.0010087757201972729,0.9995760407033966,0.9994956121399013,132.37429643390496,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
