comparison,resolution,mode,ssim,psnr,lpips,flip
1080p_DLAA_vs_Quality,1080p,Quality,0.7954429462552071,23.38824950510762,0.3285406219715975,6.670781817971443
1440p_DLAA_vs_Ultra_Performance,1440p,Ultra_Performance,0.587935933450134,13.39458509582961,0.6144047480581993,24.749155518996655
1080p_DLAA_vs_Balanced,1080p,Balanced,0.8353799138663682,25.76192761841182,0.20389583780792833,4.813198671389475
1440p_DLAA_vs_Balanced,1440p,Balanced,0.5836015841338652,13.409395121480351,0.6149351508473632,24.62829305179155
1440p_DLAA_vs_Quality,1440p,Quality,0.5374699363382018,12.970406958882423,0.6562907677799014,26.21366506844909
4K_DLAA_vs_Performance,4K,Performance,0.5431151759617012,12.800684854235506,0.658804516445724,27.759658094038045
1080p_DLAA_vs_Performance,1080p,Performance,0.9131801841514451,29.387773452843337,0.12600915649981828,3.1707532500125923
4K_DLAA_vs_Balanced,4K,Balanced,0.7543819333504069,19.10935849456082,0.3514985425271075,10.263532790489101
1440p_DLAA_vs_Performance,1440p,Performance,0.8708739778164386,24.39474161131464,0.13296659735360825,5.286133363956713
4K_DLAA_vs_Quality,4K,Quality,0.6184907194068259,13.728609731404351,0.5875968796418125,23.208218507599412
4K_DLAA_vs_Ultra_Performance,4K,Ultra_Performance,0.7618254718923927,19.26080873760989,0.35708130451670866,10.145994570619779
1080p_DLAA_vs_Ultra_Performance,1080p,Ultra_Performance,0.9168503536219512,29.3431302121932,0.13478704346651946,3.2305562763117046
