resolution,mode,ssim,ssim_rank,psnr,psnr_rank,lpips,lpips_rank,flip,flip_rank
1080p,Quality,0.7954429462552071,4,23.38824950510762,4,0.3285406219715975,4,6.670781817971443,4
1080p,Balanced,0.8353799138663682,3,25.76192761841182,3,0.20389583780792833,3,4.813198671389475,3
1080p,Performance,0.9131801841514451,2,29.387773452843337,1,0.12600915649981828,1,3.1707532500125923,1
1080p,Ultra_Performance,0.9168503536219512,1,29.3431302121932,2,0.13478704346651946,2,3.2305562763117046,2
1440p,Ultra_Performance,0.587935933450134,2,13.39458509582961,3,0.6144047480581993,2,24.749155518996655,3
1440p,Balanced,0.5836015841338652,3,13.409395121480351,2,0.6149351508473632,3,24.62829305179155,2
1440p,Quality,0.5374699363382018,4,12.970406958882423,4,0.6562907677799014,4,26.21366506844909,4
1440p,Performance,0.8708739778164386,1,24.39474161131464,1,0.13296659735360825,1,5.286133363956713,1
4K,Performance,0.5431151759617012,4,12.800684854235506,4,0.658804516445724,4,27.759658094038045,4
4K,Balanced,0.7543819333504069,2,19.10935849456082,2,0.3514985425271075,1,10.263532790489101,2
4K,Quality,0.6184907194068259,3,13.728609731404351,3,0.5875968796418125,3,23.208218507599412,3
4K,Ultra_Performance,0.7618254718923927,1,19.26080873760989,1,0.35708130451670866,2,10.145994570619779,1
