resolution,metric,effect_size,effect_label,std_dev,n_required
1440p,SSIM,0.2,small,0.08172601433991887,197
1440p,SSIM,0.5,medium,0.08172601433991887,32
1440p,SSIM,0.8,large,0.08172601433991887,13
1440p,SSIM,1.0,very_large,0.08172601433991887,8
1440p,LPIPS,0.2,small,0.06692161681749405,197
1440p,LPIPS,0.5,medium,0.06692161681749405,32
1440p,LPIPS,0.8,large,0.06692161681749405,13
1440p,LPIPS,1.0,very_large,0.06692161681749405,8
1080p,SSIM,0.2,small,0.06991971161744163,197
1080p,SSIM,0.5,medium,0.06991971161744163,32
1080p,SSIM,0.8,large,0.06991971161744163,13
1080p,SSIM,1.0,very_large,0.06991971161744163,8
1080p,LPIPS,0.2,small,0.059845147728203416,197
1080p,LPIPS,0.5,medium,0.059845147728203416,32
1080p,LPIPS,0.8,large,0.059845147728203416,13
1080p,LPIPS,1.0,very_large,0.059845147728203416,8
4K,SSIM,0.2,small,0.12954884398236938,197
4K,SSIM,0.5,medium,0.12954884398236938,32
4K,SSIM,0.8,large,0.12954884398236938,13
4K,SSIM,1.0,very_large,0.12954884398236938,8
4K,LPIPS,0.2,small,0.06410177472446277,197
4K,LPIPS,0.5,medium,0.06410177472446277,32
4K,LPIPS,0.8,large,0.06410177472446277,13
4K,LPIPS,1.0,very_large,0.06410177472446277,8
