comparison,metric,n_samples,test,statistic,p_value,significant,significant_bonferroni,mean_difference,ci_95_lower,ci_95_upper,cohens_d,effect_magnitude
1080p_DLAA_vs_Quality,ssim,392,paired_t_test,-53.28959741240663,2.15955434179674e-181,True,True,-0.20455705374479294,-0.21210391747498766,-0.1970101900145982,-2.6915311212152733,large
1080p_DLAA_vs_Quality,lpips,392,paired_t_test,93.09192265336947,6.226224540830462e-269,True,True,0.3285406219715975,0.3216020265914036,0.3354792173517914,4.701852127277937,large
1080p_DLAA_vs_Quality,flip,392,paired_t_test,68.78636808803375,1.5434323003289749e-220,True,True,6.670781817971443,6.4801177544617845,6.861445881481102,3.474236237731614,large
1440p_DLAA_vs_Ultra_Performance,ssim,398,paired_t_test,-72.75782250014187,1.1951093891498581e-231,True,True,-0.41206406654986605,-0.42319827019415895,-0.40092986290557314,-3.6470201007785503,large
1440p_DLAA_vs_Ultra_Performance,lpips,398,paired_t_test,181.86598432148344,0.0,True,True,0.6144047480581993,0.6077630795640632,0.6210464165523355,9.116118070562564,large
1440p_DLAA_vs_Ultra_Performance,flip,398,paired_t_test,59.28781103016571,2.472567505598927e-199,True,True,24.749155518996655,23.928484536495386,25.569826501497925,2.9718294353538828,large
1080p_DLAA_vs_Balanced,ssim,393,paired_t_test,-49.93380944854013,5.256235208548325e-172,True,True,-0.16462008613363174,-0.1711016405687472,-0.1581385316985163,-2.518827489879732,large
1080p_DLAA_vs_Balanced,lpips,393,paired_t_test,87.4284764930088,3.272176649539566e-259,True,True,0.20389583780792833,0.19931076224037142,0.20848091337548524,4.410183249003702,large
1080p_DLAA_vs_Balanced,flip,393,paired_t_test,76.183610069989,4.468496892128086e-237,True,True,4.813198671389475,4.688986747791953,4.937410594986998,3.842954772363695,large
1440p_DLAA_vs_Balanced,ssim,398,paired_t_test,-75.79657172008028,3.1292146963716595e-238,True,True,-0.41639841586613474,-0.4271986610498987,-0.4055981706823708,-3.7993388358028013,large
1440p_DLAA_vs_Balanced,lpips,398,paired_t_test,188.56385352932708,0.0,True,True,0.6149351508473632,0.6085238673224526,0.6213464343722738,9.451851917371187,large
1440p_DLAA_vs_Balanced,flip,398,paired_t_test,60.08082300206221,2.1449949426393043e-201,True,True,24.62829305179155,23.82240902351102,25.434177080072082,3.011579533725215,large
1440p_DLAA_vs_Quality,ssim,398,paired_t_test,-66.53678176185653,2.098106359138172e-217,True,True,-0.46253006366179816,-0.47619640564942833,-0.448863721674168,-3.3351875054552838,large
1440p_DLAA_vs_Quality,lpips,398,paired_t_test,194.32395265742906,0.0,True,True,0.6562907677799014,0.6496511348773253,0.6629304006824774,9.740579597513399,large
1440p_DLAA_vs_Quality,flip,398,paired_t_test,71.54751063141221,5.823493563292215e-229,True,True,26.21366506844909,25.493375164569134,26.933954972329044,3.5863526486505086,large
4K_DLAA_vs_Performance,ssim,399,paired_t_test,-57.099945572296654,8.096528935065702e-194,True,True,-0.45688482403829883,-0.47261529810017067,-0.441154349976427,-2.8585727305839526,large
4K_DLAA_vs_Performance,lpips,399,paired_t_test,153.16130976967847,0.0,True,True,0.658804516445724,0.6503482575899139,0.6672607753015342,7.667656056410396,large
4K_DLAA_vs_Performance,flip,399,paired_t_test,48.61142034821454,1.7284741467002226e-169,True,True,27.759658094038045,26.6370024226906,28.88231376538549,2.4336149397273545,large
1080p_DLAA_vs_Performance,ssim,392,paired_t_test,-39.344924526048416,5.0382720829983927e-138,True,True,-0.08681981584855489,-0.09115816630061259,-0.08248146539649719,-1.9872187812601243,large
1080p_DLAA_vs_Performance,lpips,392,paired_t_test,79.34983299369725,3.5595286646504423e-243,True,True,0.12600915649981828,0.1228870294281476,0.12913128357148895,4.007771785418813,large
1080p_DLAA_vs_Performance,flip,392,paired_t_test,59.954458295553565,3.1860468484478445e-199,True,True,3.1707532500125923,3.0667766886780456,3.274729811347139,3.028157430225142,large
4K_DLAA_vs_Balanced,ssim,397,paired_t_test,-60.089592128691784,4.129365534383186e-201,True,True,-0.2456180666495931,-0.25365404050250534,-0.23758209279668083,-3.015810179415866,large
4K_DLAA_vs_Balanced,lpips,397,paired_t_test,85.09415024356458,1.3775038059652886e-256,True,True,0.3514985425271075,0.3433776963285464,0.35961938872566857,4.270752977714915,large
