comparison,resolution,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,x_dw,y_dw,x_autocorr,y_autocorr,effective_n,x_autocorr_interpretation,y_autocorr_interpretation
1080p_DLAA_vs_Quality,1080p,ssim,398,0.2790732208035895,1.4885374086648465e-08,0.2450900785886122,7.427144223404754e-07,0.00018295104707715887,0.0014510943211377937,0.9999085244764614,0.9992744528394311,132.70280706787307,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,lpips,398,-0.2970311566258883,1.5028403961915913e-09,-0.3279013664029845,1.9815883407130837e-11,0.00018295104707715887,0.030886710856636378,0.9999085244764614,0.9845566445716818,133.35722732758077,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,flip,398,-0.22947086727150587,3.738835593666029e-06,-0.2486189838440157,5.075844527608281e-07,0.00018295104707715887,0.039845026338146766,0.9999085244764614,0.9800774868309267,133.5576739252505,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,ssim,399,0.2700733126519298,4.2545612512422466e-08,0.22130906219562804,8.111238441713787e-06,0.00013840049056249116,0.0007801401470047376,0.9999307997547188,0.9996099299264977,133.02036410167523,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,lpips,399,-0.010167563046856835,0.8395532498599015,-0.013477762799312428,0.7884024774623231,0.00013840049056249116,0.014662769990440066,0.9999307997547188,0.99266861500478,133.32890397295816,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,flip,399,-0.09920859322071875,0.04766300556845416,-0.2295208745809687,3.6166621962993953e-06,0.00013840049056249116,0.03309455697223101,0.9999307997547188,0.9834527215138845,133.74076686940202,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,ssim,398,0.4336723524628143,1.1106212020566328e-19,0.39194159306879456,4.59100998977973e-16,0.00019007266081268396,0.0012530253537353596,0.9999049636695937,0.9993734873231324,132.69858284357247,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,lpips,398,-0.3408375208255448,2.7753653857498687e-12,-0.3591303012823837,1.4675385969398474e-13,0.00019007266081268396,0.042412155606679096,0.9999049636695937,0.9787939221966605,133.61538552570246,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,flip,398,-0.22087569379089952,8.681607254976766e-06,-0.31295952155204926,1.714221434797247e-10,0.00019007266081268396,0.11527209950195057,0.9999049636695937,0.9423639502490248,135.2697566552234,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,ssim,398,0.3287874054623713,1.7370471889495732e-11,0.3073326580824817,3.7467420624921987e-10,0.00022843620772465821,0.0008023367087070365,0.9998857818961376,0.9995988316456464,132.68946211730773,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
