resolution,metric,effect_size,effect_label,std_dev,n_required
1440p,SSIM,0.2,small,0.06848040925755046,197
1440p,SSIM,0.5,medium,0.06848040925755046,32
1440p,SSIM,0.8,large,0.06848040925755046,13
1440p,SSIM,1.0,very_large,0.06848040925755046,8
1440p,LPIPS,0.2,small,0.055374658685344615,197
1440p,LPIPS,0.5,medium,0.055374658685344615,32
1440p,LPIPS,0.8,large,0.055374658685344615,13
1440p,LPIPS,1.0,very_large,0.055374658685344615,8
1080p,SSIM,0.2,small,0.07528344059787746,197
1080p,SSIM,0.5,medium,0.07528344059787746,32
1080p,SSIM,0.8,large,0.07528344059787746,13
1080p,SSIM,1.0,very_large,0.07528344059787746,8
1080p,LPIPS,0.2,small,0.04662294595574539,197
1080p,LPIPS,0.5,medium,0.04662294595574539,32
1080p,LPIPS,0.8,large,0.04662294595574539,13
1080p,LPIPS,1.0,very_large,0.04662294595574539,8
