comparison,metric,n_samples,test,statistic,p_value,significant,significant_bonferroni,mean_difference,ci_95_lower,ci_95_upper,cohens_d,effect_magnitude
1080p_DLAA_vs_Quality,ssim,398,paired_t_test,-35.026560892502,1.693635519551954e-123,True,True,-0.127091971024796,-0.13422534061931474,-0.11995860143027727,-1.7557228521489852,large
1080p_DLAA_vs_Quality,lpips,398,paired_t_test,47.5457720541455,5.444099240840429e-166,True,True,0.1159364929394656,0.1111426658625345,0.1207303200163967,2.3832542045656413,large
1080p_DLAA_vs_Quality,flip,398,paired_t_test,41.89629164478651,8.414722416618442e-148,True,True,4.779705942875177,4.555421214251431,5.003990671498923,2.100071339769946,large
1440p_DLAA_vs_Ultra_Performance,ssim,399,paired_t_test,-54.6047631941369,5.744795848874023e-187,True,True,-0.19792852111926354,-0.20505456716412868,-0.1908024750743984,-2.733657369762634,large
1440p_DLAA_vs_Ultra_Performance,lpips,399,paired_t_test,73.97287754522759,1.0835255044034062e-234,True,True,0.22360015217971085,0.2176576362548863,0.2295426681045354,3.7032758689039227,large
1440p_DLAA_vs_Ultra_Performance,flip,399,paired_t_test,56.05467516803181,5.616647179249203e-191,True,True,6.9575794971078855,6.7135641680601115,7.2015948261556595,2.8062437582220663,large
1080p_DLAA_vs_Balanced,ssim,398,paired_t_test,-29.926703614732407,8.226971351196548e-104,True,True,-0.09173558390320245,-0.09776191593445849,-0.08570925187194642,-1.5000901055382516,large
1080p_DLAA_vs_Balanced,lpips,398,paired_t_test,46.38169077511336,2.28737794296858e-162,True,True,0.09937428031116724,0.095162152610307,0.10358640801202748,2.324904082507468,large
1080p_DLAA_vs_Balanced,flip,398,paired_t_test,34.78537231603313,1.3430935362470105e-122,True,True,4.1248169707593005,3.8916955745300617,4.357938366988539,1.7436331612231961,large
1440p_DLAA_vs_Balanced,ssim,398,paired_t_test,-54.53293549514133,1.7108206588751303e-186,True,True,-0.18912926031716504,-0.19594752657755213,-0.18231099405677795,-2.7334890609851983,large
1440p_DLAA_vs_Balanced,lpips,398,paired_t_test,68.19094953328901,2.677180044071977e-221,True,True,0.18320265642587263,0.17792089065360017,0.1884844221981451,3.4181034436344744,large
1440p_DLAA_vs_Balanced,flip,398,paired_t_test,54.06451133791297,3.503704495883843e-185,True,True,6.357490067505957,6.126311527052313,6.5886686079596,2.710009079611391,large
1440p_DLAA_vs_Quality,ssim,399,paired_t_test,-49.931366787339826,1.809873610888513e-173,True,True,-0.20230917972430848,-0.21027467725700907,-0.19434368219160789,-2.499694913340247,large
1440p_DLAA_vs_Quality,lpips,399,paired_t_test,60.81122236347049,1.382950372805887e-203,True,True,0.20743794524505324,0.200731764702942,0.2141441257871645,3.0443689607654023,large
1440p_DLAA_vs_Quality,flip,399,paired_t_test,50.75737327066959,6.391402588000885e-176,True,True,6.926567978727489,6.658287091206712,7.1948488662482655,2.5410469599116814,large
1080p_DLAA_vs_Performance,ssim,398,paired_t_test,-42.11985696392492,1.4981317777362159e-148,True,True,-0.1275522909571777,-0.13350583382120534,-0.12159874809315008,-2.1112776566265716,large
1080p_DLAA_vs_Performance,lpips,398,paired_t_test,60.08206084076717,2.1292425776130772e-201,True,True,0.12392524415954723,0.11987026084408238,0.1279802274750121,3.011641580972966,large
1080p_DLAA_vs_Performance,flip,398,paired_t_test,52.11308711646504,1.2643358277488026e-179,True,True,4.887051360541252,4.702688171662436,5.071414549420069,2.6121930219530847,large
