comparison,resolution,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,x_dw,y_dw,x_autocorr,y_autocorr,effective_n,x_autocorr_interpretation,y_autocorr_interpretation
1080p_DLAA_vs_Quality,1080p,ssim,538,0.05551736055219405,0.19854351815629614,0.14413747756768266,0.0007994291896529876,0.01761808176182418,0.0028836436741023676,0.9911909591190879,0.9985581781629488,179.94820812594753,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,lpips,538,-0.013130242014351833,0.7612357511819482,-0.07477155386167851,0.08314801963150796,0.01761808176182418,0.03466770799515909,0.9911909591190879,0.9826661460024204,180.90983560490136,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,flip,538,-0.007170817446947017,0.8682032672604325,-0.07641633953738401,0.0765721220365714,0.01761808176182418,0.060568322441026085,0.9911909591190879,0.969715838779487,181.7010925105212,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,ssim,541,0.24886993973002475,4.417562952860042e-09,0.14219176018653806,0.0009114851345834334,0.030476552163048436,0.001579238705539515,0.9847617239184758,0.9992103806472302,181.30196296816197,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,lpips,541,-0.23571384648628094,2.885443662821852e-08,-0.11766684690377499,0.006142888398683437,0.030476552163048436,0.00417637888788731,0.9847617239184758,0.9979118105560564,181.38089661740665,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,flip,541,-0.17951363726623532,2.670476799159221e-05,-0.043194480280904765,0.3159466305658232,0.030476552163048436,0.023476343687279844,0.9847617239184758,0.9882618281563601,181.96963142873284,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,ssim,539,0.029478010789257932,0.4946497503111778,-0.03076173970110548,0.4760396541239281,0.02168628517534191,0.0036911829329530975,0.9891568574123291,0.9981544085335234,180.42980861900242,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,lpips,539,-0.05273532048609747,0.22158241362650113,0.14142573009909246,0.0009936016283154168,0.02168628517534191,0.05084792991076207,0.9891568574123291,0.974576035044619,181.8652420978351,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,flip,539,-0.031600010409953236,0.4640969825279308,0.13965153237784433,0.0011515467446237529,0.02168628517534191,0.10798465809809188,0.9891568574123291,0.9460076709509541,183.63536176302836,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,ssim,541,0.2462244732619458,6.499520932357006e-09,0.1996866827637752,2.85371764831306e-06,0.029506200425788023,0.002286327563603262,0.985246899787106,0.9988568362181983,181.29396557916388,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,lpips,541,-0.2324086194275759,4.5454413676815245e-08,-0.10981397128965686,0.01058726835911595,0.029506200425788023,0.007645967435941464,0.985246899787106,0.9961770162820293,181.45691965645818,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,flip,541,-0.1960092181750416,4.3662298094090354e-06,-0.03674260453443619,0.39370228736045854,0.029506200425788023,0.029785879081713387,0.985246899787106,0.9851070604591433,182.13317578998223,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,ssim,541,0.18491531312222195,1.5015874134676347e-05,0.1409660162018149,0.001010335308614133,0.01836375650330553,0.002257313516981463,0.9908181217483473,0.9988713432415093,180.95524847488986,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,lpips,541,-0.15066937725368332,0.0004373286867758075,-0.05173764795338536,0.2295928595140451,0.01836375650330553,0.00787661380479877,0.9908181217483473,0.9960616930976006,181.1254665524273,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,flip,541,-0.1162365882185526,0.006799242642545402,0.012691212955495688,0.7683612158022108,0.01836375650330553,0.035334627213192187,0.9908181217483473,0.9823326863934039,181.96184280949083,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,ssim,542,0.14507457407857963,0.0007050548651459176,0.26395624143371105,4.3204691478346193e-10,0.025809377363919233,0.0019993737164601126,0.9870953113180404,0.99900031314177,181.5079180855264,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,lpips,542,-0.0712135654334157,0.09768314755844602,-0.07116614700529313,0.09790717849630386,0.025809377363919233,0.016982561404911157,0.9870953113180404,0.9915087192975445,181.9644351612542,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,flip,542,-0.04969235008618508,0.24812114795994344,-0.03777877205555759,0.38004880292659704,0.025809377363919233,0.055062589455733064,0.9870953113180404,0.9724687052721335,183.13508238435023,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Performance,1080p,ssim,538,0.14606816068878423,0.0006778387410861123,0.038573913422956754,0.3718750640383103,0.012140911921603121,0.0021246847244541533,0.9939295440391984,0.9989376576377729,179.76073235008434,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Performance,1080p,lpips,538,-0.014148436372183625,0.7433474972386468,0.11582922968652994,0.007157035728362612,0.012140911921603121,0.010687932648800014,0.9939295440391984,0.9946560336756,180.0182681773423,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Performance,1080p,flip,538,-0.0014661608517457618,0.9729343518769088,0.13013667348842567,0.0024917008692946618,0.012140911921603121,0.05978885504954901,0.9939295440391984,0.9701055724752254,181.50932052136568,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Balanced,4K,ssim,541,0.11522641953922744,0.007299983722515551,0.3092512255889519,1.8741977859248788e-13,0.027498873915202688,0.004942359564654452,0.9862505630423987,0.9975288202176728,181.31367320090015,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Balanced,4K,lpips,541,-0.09329534823695465,0.03002887265905519,-0.21599823900523438,3.928942956065981e-07,0.027498873915202688,0.08397988574553143,0.9862505630423987,0.9580100571272343,183.74732056458726,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Balanced,4K,flip,541,-0.08175976520937446,0.057371764005685624,-0.19440916710361208,5.240750689888219e-06,0.027498873915202688,0.11190700320270072,0.9862505630423987,0.9440464983986496,184.62292001683593,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Performance,1440p,ssim,541,0.10972946915094334,0.010647629765681801,0.041356809411549345,0.3369944661300295,0.02545580844718685,0.002134149308906538,0.9872720957764066,0.9989329253455468,181.1663955332644,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Performance,1440p,lpips,541,-0.08653853759730987,0.04422467580251278,0.04604043680261825,0.28508623715475045,0.02545580844718685,0.006388829070595326,0.9872720957764066,0.9968055854647023,181.2955485042844,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
