frame_index,timestamp,ssim,mse,psnr,fps,fps_interpolated,lpips,flip,optical_flow,resolution,comparison
0,0.0,0.8948920965194702,85.11016845703125,28.830989107602598,151.0,False,0.05934898927807808,2.5206587314605713,,1080p,1080p_DLAA_vs_Quality
10,0.167,0.9346356391906738,217.0800018310547,24.764605442972282,152.0,False,0.054412104189395905,2.803433418273926,,1080p,1080p_DLAA_vs_Quality
20,0.333,0.8542200326919556,146.60952758789062,26.4691816652191,151.0,False,0.06092970445752144,3.2679340839385986,163.56274415488906,1080p,1080p_DLAA_vs_Quality
30,0.5,0.8320567011833191,178.36643981933594,25.617672169508623,150.0,False,0.08189620077610016,3.781625747680664,7.730651851078505,1080p,1080p_DLAA_vs_Quality
40,0.667,0.7965822815895081,236.8006591796875,24.38697453874028,149.0,False,0.1266641467809677,4.717798709869385,18.589355457101078,1080p,1080p_DLAA_vs_Quality
50,0.833,0.89552241563797,56.97952651977539,30.57361524786902,147.0,False,0.05402633175253868,2.387021780014038,30.62634278055532,1080p,1080p_DLAA_vs_Quality
60,1.0,0.8313499689102173,164.021728515625,25.981789765436226,146.0,False,0.09441019594669342,3.604494094848633,2.569030748256637,1080p,1080p_DLAA_vs_Quality
70,1.167,0.8656325936317444,137.57965087890625,26.74526157815361,146.0,False,0.07457898557186127,3.057844877243042,45.75579833971324,1080p,1080p_DLAA_vs_Quality
80,1.333,0.7336830496788025,438.5413513183594,21.71069810366147,148.0,False,0.17884346842765808,6.619944095611572,74.00585937560788,1080p,1080p_DLAA_vs_Quality
90,1.5,0.7434383034706116,257.60992431640625,24.02117770841514,148.0,False,0.17077268660068512,5.154275417327881,103.4495239198825,1080p,1080p_DLAA_vs_Quality
100,1.667,0.7856670618057251,206.809326171875,24.97510241273588,149.0,False,0.16281382739543915,4.554150104522705,14.955780021188275,1080p,1080p_DLAA_vs_Quality
110,1.833,0.8650780916213989,114.14823913574219,27.556111444681036,148.0,False,0.10694072395563126,3.1822128295898438,11.896972667942748,1080p,1080p_DLAA_vs_Quality
120,2.0,0.9212828278541565,138.83973693847656,26.705665787313727,148.0,False,0.07113024592399597,2.8607869148254395,38.03521728589004,1080p,1080p_DLAA_vs_Quality
130,2.167,0.8966233134269714,69.68755340576172,29.699251433135572,145.0,False,0.07106205075979233,2.577986478805542,61.03747557642873,1080p,1080p_DLAA_vs_Quality
140,2.333,0.890427827835083,68.86470794677734,29.75083650872564,147.0,False,0.07147832959890366,2.655913829803467,10.072326665871856,1080p,1080p_DLAA_vs_Quality
150,2.5,0.9539555311203003,23.0678653717041,34.50072952743956,149.0,False,0.056395333260297775,1.755278468132019,5.798767099948691,1080p,1080p_DLAA_vs_Quality
160,2.667,0.8861986398696899,81.41914367675781,29.023538304788467,151.0,False,0.08852441608905792,2.927295207977295,5.013122551690174,1080p,1080p_DLAA_vs_Quality
170,2.833,0.8352850675582886,181.07275390625,25.5522725411194,152.0,False,0.1307385414838791,4.138116359710693,8.004486080992308,1080p,1080p_DLAA_vs_Quality
180,3.0,0.7882370352745056,268.78857421875,23.83669557271887,52.0,False,0.16912125051021576,5.3040361404418945,9.013610826416823,1080p,1080p_DLAA_vs_Quality
190,3.167,0.842171311378479,167.89212036132812,25.880500468852947,152.0,False,0.116763174533844,3.8926432132720947,5.238922127851879,1080p,1080p_DLAA_vs_Quality
200,3.333,0.8172951936721802,208.483642578125,24.940083745400777,151.0,False,0.15260067582130432,4.639766693115234,19.337921139997263,1080p,1080p_DLAA_vs_Quality
210,3.5,0.8561428785324097,153.68101501464844,26.264601406266813,151.0,False,0.1263957917690277,3.653010606765747,8.199035655797331,1080p,1080p_DLAA_vs_Quality
220,3.667,0.8169865608215332,315.92852783203125,23.134915171069842,151.0,False,0.142532080411911,4.903833389282227,4.5399169807036515,1080p,1080p_DLAA_vs_Quality
230,3.833,0.8343008160591125,192.56954956054688,25.28492746321049,149.0,False,0.10421185195446014,4.0546770095825195,3.5989379924118907,1080p,1080p_DLAA_vs_Quality
240,4.0,0.7686657905578613,380.3296203613281,22.329202109532087,146.0,False,0.17114563286304474,6.020129680633545,0.4385986253109877,1080p,1080p_DLAA_vs_Quality
250,4.167,0.7696877717971802,398.9908142089844,22.12117463637984,143.0,False,0.17407932877540588,6.0298566818237305,2.0868530405379033,1080p,1080p_DLAA_vs_Quality
260,4.333,0.7270806431770325,477.18719482421875,21.343915798758882,142.0,False,0.19069209694862366,7.065581798553467,16.16772461838491,1080p,1080p_DLAA_vs_Quality
270,4.5,0.7598917484283447,534.4315185546875,20.851882977575883,144.0,False,0.19873706996440887,6.663916110992432,21.53424073084966,1080p,1080p_DLAA_vs_Quality
280,4.667,0.7503369450569153,779.0533447265625,19.21513164392792,144.0,False,0.2325289100408554,8.204963684082031,32.076782208275176,1080p,1080p_DLAA_vs_Quality
290,4.833,0.7191462516784668,939.070556640625,18.40382136856851,142.0,False,0.24873480200767517,8.545561790466309,26.294677749114385,1080p,1080p_DLAA_vs_Quality
300,5.0,0.8157714605331421,282.56591796875,23.619605831527053,142.0,False,0.18070144951343536,5.403765678405762,4.162841801938725,1080p,1080p_DLAA_vs_Quality
310,5.167,0.8386039733886719,294.92657470703125,23.433664539361956,142.0,False,0.14482778310775757,4.932603359222412,7.091857917545099,1080p,1080p_DLAA_vs_Quality
320,5.333,0.8448366522789001,206.17576599121094,24.988427441241296,141.0,False,0.13086958229541779,4.202396869659424,15.001464850433763,1080p,1080p_DLAA_vs_Quality
330,5.5,0.8347228169441223,283.22418212890625,23.609500295168946,141.0,False,0.16342808306217194,5.048196315765381,6.450012197453589,1080p,1080p_DLAA_vs_Quality
340,5.667,0.809668779373169,325.07659912109375,23.010946532553973,141.0,False,0.1818372905254364,5.987896919250488,15.345520017930312,1080p,1080p_DLAA_vs_Quality
350,5.833,0.8296412229537964,276.1553649902344,23.719268759987038,140.0,False,0.16140051186084747,5.190517425537109,25.38006591854719,1080p,1080p_DLAA_vs_Quality
360,6.0,0.8379837870597839,287.3598327636719,23.546542986292927,138.0,False,0.15906259417533875,5.0497965812683105,7.764251713187207,1080p,1080p_DLAA_vs_Quality
370,6.167,0.8779560327529907,203.32044982910156,25.048992989967935,136.0,False,0.11864037066698074,3.9898722171783447,2.5489807073086013,1080p,1080p_DLAA_vs_Quality
380,6.333,0.8454076051712036,325.88427734375,23.0001695292675,137.0,False,0.1432250589132309,4.844806671142578,6.322723383526522,1080p,1080p_DLAA_vs_Quality
390,6.5,0.8368881940841675,372.442138671875,22.42021549038325,138.0,False,0.15722307562828064,5.434464454650879,19.98364258210205,1080p,1080p_DLAA_vs_Quality
400,6.667,0.8199312090873718,251.3273468017578,24.12840614340849,141.0,False,0.13837043941020966,4.832936763763428,44.49969482171866,1080p,1080p_DLAA_vs_Quality
410,6.833,0.7127320766448975,780.7654418945312,19.205597784514044,142.0,False,0.22542506456375122,9.512407302856445,24.588684062919015,1080p,1080p_DLAA_vs_Quality
420,7.0,0.7836000919342041,413.80718994140625,21.962823285624804,144.0,False,0.18868203461170197,6.698575496673584,50.989440905511856,1080p,1080p_DLAA_vs_Quality
430,7.167,0.8157345652580261,305.84576416015625,23.275778907949494,144.0,False,0.1497908979654312,5.203854084014893,55.96166992751546,1080p,1080p_DLAA_vs_Quality
440,7.333,0.7585169076919556,560.26318359375,20.646882761255103,144.0,True,0.20081056654453278,7.524016380310059,42.77819825579434,1080p,1080p_DLAA_vs_Quality
450,7.5,0.7906325459480286,401.3843688964844,22.095199051085295,143.0,False,0.1440197080373764,5.828479290008545,51.248901378648156,1080p,1080p_DLAA_vs_Quality
460,7.667,0.7566104531288147,636.2657470703125,20.094418169476707,143.0,False,0.1771603524684906,7.4218950271606445,0.2706299012581894,1080p,1080p_DLAA_vs_Quality
470,7.833,0.7826533913612366,554.1455688476562,20.694564960619907,143.0,False,0.19829735159873962,7.379175186157227,13.70471190059584,1080p,1080p_DLAA_vs_Quality
480,8.0,0.7784928679466248,465.5654296875,21.450996363338092,144.0,False,0.2044346034526825,7.272579193115234,7.605896004171427,1080p,1080p_DLAA_vs_Quality
490,8.167,0.833011269569397,199.08631896972656,25.140389441358316,143.0,False,0.1715875267982483,4.785398483276367,9.494506831986655,1080p,1080p_DLAA_vs_Quality
500,8.333,0.8277489542961121,364.0689697265625,22.51896696080667,139.0,False,0.15461304783821106,5.284287452697754,21.30963135485922,1080p,1080p_DLAA_vs_Quality
510,8.5,0.8395907878875732,263.1796569824219,23.928280443216043,139.0,False,0.13344800472259521,4.764004707336426,13.26965332396253,1080p,1080p_DLAA_vs_Quality
520,8.667,0.8420981168746948,196.67178344726562,25.193383048233684,140.0,False,0.11349594593048096,4.348727703094482,7.951843272692372,1080p,1080p_DLAA_vs_Quality
530,8.833,0.739398717880249,471.8318176269531,21.392931370061422,143.0,False,0.1888272613286972,7.710616111755371,141.39025878100279,1080p,1080p_DLAA_vs_Quality
540,9.0,0.7853142619132996,293.77838134765625,23.450605272314597,143.0,False,0.16174109280109406,5.729118824005127,70.56921387853481,1080p,1080p_DLAA_vs_Quality
550,9.167,0.7877082228660583,288.9284362792969,23.522900737435606,143.0,False,0.16558897495269775,5.291355133056641,87.31646729574823,1080p,1080p_DLAA_vs_Quality
560,9.333,0.8111363053321838,306.62579345703125,23.264716758261077,144.0,False,0.1760755479335785,5.276461124420166,0.010009768676923159,1080p,1080p_DLAA_vs_Quality
570,9.5,0.8592983484268188,181.5034942626953,25.54195370479806,144.0,False,0.112095907330513,3.7354934215545654,18.258239746086588,1080p,1080p_DLAA_vs_Quality
580,9.667,0.9156628847122192,70.38851928710938,29.65578531510684,145.0,False,0.06773249059915543,2.522665023803711,11.053405768333619,1080p,1080p_DLAA_vs_Quality
590,9.833,0.8339546918869019,381.12237548828125,22.320159141533953,147.0,False,0.14223287999629974,5.29860258102417,39.79626464707485,1080p,1080p_DLAA_vs_Quality
600,10.0,0.8244551420211792,371.82733154296875,22.427390510048475,147.0,False,0.1347985714673996,5.748866558074951,15.843322740270878,1080p,1080p_DLAA_vs_Quality
610,10.167,0.8390606045722961,268.50628662109375,23.841259024416892,147.0,False,0.11925231665372849,4.661449432373047,17.720397945929335,1080p,1080p_DLAA_vs_Quality
620,10.333,0.7902590036392212,375.2629089355469,22.38744720091052,145.0,False,0.17480970919132233,5.99439811706543,15.281738268913841,1080p,1080p_DLAA_vs_Quality
630,10.5,0.779484748840332,482.14776611328125,21.299002019387096,147.0,False,0.1854100078344345,6.708435535430908,21.098327651817158,1080p,1080p_DLAA_vs_Quality
640,10.667,0.7787855267524719,584.0872192382812,20.46602657581506,148.0,False,0.17542940378189087,7.023234844207764,1.3025512727499517,1080p,1080p_DLAA_vs_Quality
650,10.833,0.7392815947532654,787.537841796875,19.168089297221872,151.0,False,0.1849711537361145,8.391556739807129,11.553955067220272,1080p,1080p_DLAA_vs_Quality
660,11.0,0.79499351978302,540.0858154296875,20.80617589551371,150.0,False,0.14014989137649536,6.641113758087158,26.221496595446183,1080p,1080p_DLAA_vs_Quality
670,11.167,0.7719161510467529,745.9562377929688,19.403670109321205,151.0,False,0.17306815087795258,7.834565162658691,27.485107414626555,1080p,1080p_DLAA_vs_Quality
680,11.333,0.77254319190979,2346.10400390625,14.427331001807275,150.0,False,0.2598908543586731,15.08919906616211,120.9350586047035,1080p,1080p_DLAA_vs_Quality
690,11.5,0.7779532074928284,534.1575927734375,20.85410954823045,152.0,False,0.14880159497261047,6.272554874420166,97.68334961631331,1080p,1080p_DLAA_vs_Quality
700,11.667,0.7821060419082642,891.4091186523438,18.630032884880244,149.0,False,0.17938190698623657,7.33103084564209,124.28454589967919,1080p,1080p_DLAA_vs_Quality
710,11.833,0.8381618857383728,241.7022247314453,24.29799713008279,145.0,False,0.0971427783370018,4.119410514831543,117.82385253545135,1080p,1080p_DLAA_vs_Quality
720,12.0,0.9096853137016296,84.15572357177734,28.879967024561402,145.0,False,0.06314129382371902,2.5791873931884766,15.977539063589575,1080p,1080p_DLAA_vs_Quality
730,12.167,0.934196412563324,52.569557189941406,30.92346042034285,143.0,False,0.05666535720229149,2.1967012882232666,22.185302731855018,1080p,1080p_DLAA_vs_Quality
740,12.333,0.9632194638252258,18.841707229614258,35.379601096080165,144.0,False,0.04832466319203377,1.705885648727417,4.772155753443371,1080p,1080p_DLAA_vs_Quality
750,12.5,0.9046122431755066,86.27985382080078,28.77170960237975,148.0,False,0.0647924393415451,2.7235562801361084,1.0845947296953682,1080p,1080p_DLAA_vs_Quality
760,12.667,0.8927072286605835,137.87918090820312,26.735816661153496,48.0,False,0.08275425434112549,3.1867611408233643,1.1083374011676597,1080p,1080p_DLAA_vs_Quality
770,12.833,0.8574744462966919,292.27044677734375,23.472954574174267,149.0,False,0.1171988844871521,5.64837646484375,17.25683596278975,1080p,1080p_DLAA_vs_Quality
780,13.0,0.9123587012290955,70.02009582519531,29.67857660089781,150.0,False,0.06437948346138,3.127434492111206,2.1171264496222193,1080p,1080p_DLAA_vs_Quality
790,13.167,0.9211124181747437,58.591007232666016,30.45249396879358,150.0,False,0.06046527624130249,2.8933255672454834,48.46124268799474,1080p,1080p_DLAA_vs_Quality
800,13.333,0.8400539755821228,328.52655029296875,22.965098874902697,150.0,False,0.11549818515777588,4.816955089569092,1.951782234415191,1080p,1080p_DLAA_vs_Quality
810,13.5,0.8308479189872742,303.9990539550781,23.3020812878129,150.0,False,0.1379902958869934,5.178493022918701,17.634338366625457,1080p,1080p_DLAA_vs_Quality
820,13.667,0.8480482697486877,234.87464904785156,24.422442166861845,150.0,False,0.1176404282450676,4.465905666351318,31.692260752811194,1080p,1080p_DLAA_vs_Quality
830,13.833,0.843102216720581,303.4827880859375,23.309462956090833,151.0,False,0.11782348155975342,4.6951584815979,0.5970458836990247,1080p,1080p_DLAA_vs_Quality
840,14.0,0.858371376991272,287.8074951171875,23.53978261171248,150.0,False,0.09225927293300629,4.773593902587891,63.68597413532916,1080p,1080p_DLAA_vs_Quality
850,14.167,0.7675184607505798,583.378662109375,20.471298207198846,150.0,True,0.1499655544757843,6.831170082092285,64.89611815457806,1080p,1080p_DLAA_vs_Quality
860,14.333,0.7676377892494202,613.9511108398438,20.249465713844398,153.0,False,0.15742374956607819,6.9056172370910645,3.885375984583902,1080p,1080p_DLAA_vs_Quality
870,14.5,0.9364862442016602,135.34817504882812,26.81627956480387,155.0,False,0.06576957553625107,2.820547580718994,56.869567887512176,1080p,1080p_DLAA_vs_Quality
880,14.667,0.7871299386024475,642.2313232421875,20.05388877483124,154.0,False,0.1514834761619568,7.151671409606934,25.89208983256026,1080p,1080p_DLAA_vs_Quality
890,14.833,0.8421125411987305,791.4710083007812,19.146453496488064,153.0,False,0.1358610838651657,7.35120964050293,115.49499514532249,1080p,1080p_DLAA_vs_Quality
900,15.0,0.8986334800720215,122.27745819091797,27.25733958497305,153.0,False,0.06387455761432648,3.076180934906006,122.27380372027574,1080p,1080p_DLAA_vs_Quality
910,15.167,0.8378921151161194,183.70321655273438,25.489636002133082,155.0,False,0.10432752966880798,4.213334560394287,7.297729484091633,1080p,1080p_DLAA_vs_Quality
920,15.333,0.884308397769928,97.46479034423828,28.24232607947994,158.0,False,0.07176773995161057,3.1153085231781006,22.30987549493659,1080p,1080p_DLAA_vs_Quality
930,15.5,0.8555411696434021,127.18222045898438,27.08653957859362,157.0,False,0.08879685401916504,3.5782313346862793,10.880065929407806,1080p,1080p_DLAA_vs_Quality
940,15.667,0.8486152291297913,154.02685546875,26.254839116869245,155.0,False,0.09117630124092102,3.7840914726257324,16.097778331371273,1080p,1080p_DLAA_vs_Quality
