comparison,resolution,mode,ssim,psnr,lpips,flip
1080p_DLAA_vs_Quality,1080p,Quality,0.7903186270137371,22.705915728634764,0.17526691910327033,6.399216563556199
1440p_DLAA_vs_Ultra_Performance,1440p,Ultra_Performance,0.6423691538147036,15.68590221463883,0.4217482998333665,15.525491190044805
1080p_DLAA_vs_Balanced,1080p,Balanced,0.7899737769387305,22.503902869395937,0.1742389516636894,6.319565291334342
1440p_DLAA_vs_Balanced,1440p,Balanced,0.6680951632435352,17.03772649243961,0.3553050789782388,12.88813898655932
1440p_DLAA_vs_Quality,1440p,Quality,0.6789583828224492,17.58057791550979,0.3342699671091853,11.999916671164154
4K_DLAA_vs_Performance,4K,Performance,0.7337790943159829,19.490516668167267,0.27805268831853497,8.81870152281659
1080p_DLAA_vs_Performance,1080p,Performance,0.6955676151377689,18.30628337561418,0.2932938947256421,10.523538241527177
4K_DLAA_vs_Balanced,4K,Balanced,0.7928652186049991,22.51413505076335,0.19479458788736911,5.952413153956866
1440p_DLAA_vs_Performance,1440p,Performance,0.6549861254291041,16.488243122976,0.3826994328258659,14.10531491030166
4K_DLAA_vs_Quality,4K,Quality,0.7505894075259704,20.631967830388977,0.2488830156224933,7.982177606792415
4K_DLAA_vs_Ultra_Performance,4K,Ultra_Performance,0.7018602786248901,17.80162596435339,0.3561669167859748,11.467715756919551
1080p_DLAA_vs_Ultra_Performance,1080p,Ultra_Performance,0.781566408667679,21.920620524824542,0.2183094466459729,7.04394162560567
