resolution,mode,ssim,ssim_rank,psnr,psnr_rank,lpips,lpips_rank,flip,flip_rank
1080p,Quality,0.7903186270137371,1,22.705915728634764,1,0.17526691910327033,2,6.399216563556199,2
1080p,Balanced,0.7899737769387305,2,22.503902869395937,2,0.1742389516636894,1,6.319565291334342,1
1080p,Performance,0.6955676151377689,4,18.30628337561418,4,0.2932938947256421,4,10.523538241527177,4
1080p,Ultra_Performance,0.781566408667679,3,21.920620524824542,3,0.2183094466459729,3,7.04394162560567,3
1440p,Ultra_Performance,0.6423691538147036,4,15.68590221463883,4,0.4217482998333665,4,15.525491190044805,4
1440p,Balanced,0.6680951632435352,2,17.03772649243961,2,0.3553050789782388,2,12.88813898655932,2
1440p,Quality,0.6789583828224492,1,17.58057791550979,1,0.3342699671091853,1,11.999916671164154,1
1440p,Performance,0.6549861254291041,3,16.488243122976,3,0.3826994328258659,3,14.10531491030166,3
4K,Performance,0.7337790943159829,3,19.490516668167267,3,0.27805268831853497,3,8.81870152281659,3
4K,Balanced,0.7928652186049991,1,22.51413505076335,1,0.19479458788736911,1,5.952413153956866,1
4K,Quality,0.7505894075259704,2,20.631967830388977,2,0.2488830156224933,2,7.982177606792415,2
4K,Ultra_Performance,0.7018602786248901,4,17.80162596435339,4,0.3561669167859748,4,11.467715756919551,4
