resolution,metric,effect_size,effect_label,std_dev,n_required
1440p,SSIM,0.2,small,0.0854445921764116,197
1440p,SSIM,0.5,medium,0.0854445921764116,32
1440p,SSIM,0.8,large,0.0854445921764116,13
1440p,SSIM,1.0,very_large,0.0854445921764116,8
1440p,LPIPS,0.2,small,0.08205832512955655,197
1440p,LPIPS,0.5,medium,0.08205832512955655,32
1440p,LPIPS,0.8,large,0.08205832512955655,13
1440p,LPIPS,1.0,very_large,0.08205832512955655,8
1080p,SSIM,0.2,small,0.0801071944957527,197
1080p,SSIM,0.5,medium,0.0801071944957527,32
1080p,SSIM,0.8,large,0.0801071944957527,13
1080p,SSIM,1.0,very_large,0.0801071944957527,8
1080p,LPIPS,0.2,small,0.0705271337813289,197
1080p,LPIPS,0.5,medium,0.0705271337813289,32
1080p,LPIPS,0.8,large,0.0705271337813289,13
1080p,LPIPS,1.0,very_large,0.0705271337813289,8
4K,SSIM,0.2,small,0.06530465487731059,197
4K,SSIM,0.5,medium,0.06530465487731059,32
4K,SSIM,0.8,large,0.06530465487731059,13
4K,SSIM,1.0,very_large,0.06530465487731059,8
4K,LPIPS,0.2,small,0.06378520975012635,197
4K,LPIPS,0.5,medium,0.06378520975012635,32
4K,LPIPS,0.8,large,0.06378520975012635,13
4K,LPIPS,1.0,very_large,0.06378520975012635,8
