comparison,metric,n_samples,test,statistic,p_value,significant,significant_bonferroni,mean_difference,ci_95_lower,ci_95_upper,cohens_d,effect_magnitude
1080p_DLAA_vs_Quality,ssim,541,paired_t_test,-57.742686493785435,3.1961903072138813e-233,True,True,-0.2096813729862629,-0.21681459015095692,-0.2025481558215689,-2.482551994574603,large
1080p_DLAA_vs_Quality,lpips,541,paired_t_test,52.002053487633944,2.0974126356337236e-212,True,True,0.17526691910327033,0.16864624761907654,0.18188759058746412,2.235742904369283,large
1080p_DLAA_vs_Quality,flip,541,paired_t_test,47.01741541297022,4.809710194564632e-193,True,True,6.399216563556199,6.131860132047938,6.6665729950644605,2.021436574929264,large
1440p_DLAA_vs_Ultra_Performance,ssim,541,paired_t_test,-113.17157142028844,0.0,True,True,-0.3576308461852964,-0.3638383958653896,-0.3514232965052032,-4.86562588993529,large
1440p_DLAA_vs_Ultra_Performance,lpips,541,paired_t_test,117.96567287604461,0.0,True,True,0.4217482998333665,0.4147253385988657,0.4287712610678673,5.071740410299032,large
1440p_DLAA_vs_Ultra_Performance,flip,541,paired_t_test,75.53217478684171,3.2033567279754686e-289,True,True,15.525491190044805,15.121719431247636,15.929262948841975,3.247381834092747,large
1080p_DLAA_vs_Balanced,ssim,542,paired_t_test,-68.3346099595039,2.952251772469997e-268,True,True,-0.2100262230612695,-0.21606367350840067,-0.20398877261413834,-2.935222829637715,large
1080p_DLAA_vs_Balanced,lpips,542,paired_t_test,68.07073662999161,1.9259487520730366e-267,True,True,0.1742389516636894,0.16921083233687662,0.1792670709905022,2.92388849961994,large
1080p_DLAA_vs_Balanced,flip,542,paired_t_test,54.86399487994208,3.3804561658569708e-223,True,True,6.319565291334342,6.093298637318869,6.545831945349816,2.356610367603858,large
1440p_DLAA_vs_Balanced,ssim,541,paired_t_test,-88.78776916722202,0.0,True,True,-0.33190483675646476,-0.3392479971929218,-0.3245616763200077,-3.8172843493113064,large
1440p_DLAA_vs_Balanced,lpips,541,paired_t_test,84.93818629487485,1.312239798e-314,True,True,0.3553050789782388,0.3470879328089685,0.36352222514750915,3.6517778545787785,large
1440p_DLAA_vs_Balanced,flip,541,paired_t_test,62.93690301534204,8.216101024737414e-251,True,True,12.88813898655932,12.485878455710568,13.290399517408071,2.7058688052191946,large
1440p_DLAA_vs_Quality,ssim,541,paired_t_test,-86.98813783643159,8.0434e-320,True,True,-0.32104161717755075,-0.32829138136224206,-0.31379185299285944,-3.739912155168009,large
1440p_DLAA_vs_Quality,lpips,541,paired_t_test,84.08419612094013,2.09690326282e-312,True,True,0.3342699671091853,0.3264607847947223,0.34207914942364825,3.6150619492688145,large
1440p_DLAA_vs_Quality,flip,541,paired_t_test,63.35375248202057,3.554837577636235e-252,True,True,11.999916671164154,11.627843404968415,12.371989937359894,2.7237905635885693,large
4K_DLAA_vs_Performance,ssim,542,paired_t_test,-100.572480751567,0.0,True,True,-0.2662209056840172,-0.27142067133253256,-0.2610211400355018,-4.319957949715973,large
4K_DLAA_vs_Performance,lpips,542,paired_t_test,99.77408796568658,0.0,True,True,0.27805268831853497,0.27257836922498163,0.2835270074120883,4.285664043106673,large
4K_DLAA_vs_Performance,flip,542,paired_t_test,69.67940492339223,2.2783172375527597e-272,True,True,8.81870152281659,8.57009015246347,9.067312893169712,2.9929867194371322,large
1080p_DLAA_vs_Performance,ssim,542,paired_t_test,-110.56374211323367,0.0,True,True,-0.3044323848622312,-0.3098411596344181,-0.29902361009004425,-4.7491193726467635,large
1080p_DLAA_vs_Performance,lpips,542,paired_t_test,119.63267288847767,0.0,True,True,0.2932938947256421,0.2884780331716923,0.2981097562795919,5.138663304596842,large
1080p_DLAA_vs_Performance,flip,542,paired_t_test,73.2153961152628,6.927578208944552e-283,True,True,10.523538241527177,10.241193213809527,10.805883269244827,3.1448705463577373,large
