comparison,resolution,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,x_dw,y_dw,x_autocorr,y_autocorr,effective_n,x_autocorr_interpretation,y_autocorr_interpretation
1080p_DLAA_vs_Quality,1080p,ssim,179,0.09997722615645982,0.18300091246740763,0.283922601572008,0.00011735832551990156,0.02366876634352068,0.0005255900441969252,0.9881656168282397,0.9997372049779015,59.908240219070194,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,lpips,179,-0.1337080804728898,0.07436184706541529,-0.4424460453973508,5.606934867048789e-10,0.02366876634352068,0.007877400789237677,0.9881656168282397,0.9960612996053811,59.98203387761098,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,flip,179,-0.17382447354233305,0.019961857563053177,-0.6419116048468363,3.5732231300172867e-22,0.02366876634352068,0.02562093799959112,0.9881656168282397,0.9871895310002045,60.16088537552995,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,ssim,179,0.3279211028333989,7.426445321157184e-06,0.35595154413783936,1.0080441418037966e-06,0.0009529321316876056,0.0007262490633156868,0.9995235339341562,0.9996368754683421,59.68336986538873,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,lpips,179,-0.4377920725759679,8.878933641981234e-10,-0.4427079517439491,5.462620130950038e-10,0.0009529321316876056,0.011926021157120955,0.9995235339341562,0.9940369894214395,59.79501620343126,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,flip,179,-0.6255492049978753,7.87641980713293e-21,-0.6693336678861109,1.287772633336535e-24,0.0009529321316876056,0.026690960925751513,0.9995235339341562,0.9866545195371242,59.942842253468974,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,ssim,179,-0.06716160606248313,0.37170990572807516,0.06199307810524753,0.4097160082236504,0.017912509707246706,0.0007803030596357427,0.9910437451463766,0.9996098484701821,59.85313724801461,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,lpips,179,0.3127825133824209,2.01806974842023e-05,0.1900220564419291,0.010841461930905003,0.017912509707246706,0.01495630643432093,0.9910437451463766,0.9925218467828395,59.99532924102937,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,flip,179,0.042645878535960385,0.5708339723328368,-0.44432540320183084,4.64783618795309e-10,0.017912509707246706,0.0426187726850656,0.9910437451463766,0.9786906136574672,60.27475133233735,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,ssim,178,0.059344333271795044,0.431359220322922,0.12815405553455056,0.08823561919445808,0.022294468088308223,0.0007725117106491073,0.9888527659558459,0.9996137441446754,59.56232047385826,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,lpips,178,-0.10614613797953681,0.15848773457608595,-0.3974986778572785,3.929181127193405e-08,0.022294468088308223,0.007203473919519729,0.9888527659558459,0.9963982630402402,59.626476390449426,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,flip,178,-0.15952439488870662,0.03342288136808081,-0.6546750384515967,3.7164373728248124e-23,0.022294468088308223,0.03893367207445767,0.9888527659558459,0.9805331639627711,59.94505402835208,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,ssim,179,0.09303262812996221,0.21547147258031493,0.23357245977514995,0.0016510391791039734,0.010528442795439682,0.001037628054707502,0.9947357786022801,0.9994811859726462,59.781906961913066,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,lpips,179,0.03593768710221597,0.6329354024645073,-0.0741394906097265,0.32397228596303174,0.010528442795439682,0.024971308132835598,0.9947357786022801,0.9875143459335822,60.02179311765756,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,flip,179,-0.21709112058308494,0.003511259209069919,-0.4797062352436747,1.0892482990938785e-11,0.010528442795439682,0.04633483139510512,0.9947357786022801,0.9768325843024475,60.237550727261855,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,ssim,179,0.1880660543962763,0.011700141753809767,0.07658566959012705,0.30821940440094586,0.0005827615888008582,0.0008154562416979107,0.9997086192055996,0.999592271879151,59.68057440721176,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,lpips,179,-0.42118407443021544,4.3315768870937485e-09,-0.4171440707055047,6.2880487575310465e-09,0.0005827615888008582,0.009665625911601755,0.9997086192055996,0.9951671870441992,59.76875556123473,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,flip,179,-0.5228180571860732,6.034538126541254e-14,-0.6457793897268578,1.6732052254665726e-22,0.0005827615888008582,0.0399740723524051,0.9997086192055996,0.9800129638237974,60.07272659951534,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Performance,1080p,ssim,178,0.09835045679669713,0.19152431594445185,0.20921103194822954,0.00506859936706697,0.012936326817308982,0.000563735543098449,0.9935318365913455,0.9997181322284507,59.467135005160735,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Performance,1080p,lpips,178,-0.09910911643779985,0.1881043444572923,-0.26126454551451705,0.00042745052624524585,0.012936326817308982,0.009550568524348367,0.9935318365913455,0.9952247157378258,59.55654028136973,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Performance,1080p,flip,178,-0.18067721877954795,0.01580236243423721,-0.5719959954730526,7.437511201814799e-17,0.012936326817308982,0.035690036995243125,0.9935318365913455,0.9821549815023785,59.81812296834042,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Balanced,4K,ssim,179,0.34065257499176393,3.0710033492650176e-06,0.1286447544653472,0.08611993584749195,0.0006197382666339069,0.0010857367222076547,0.999690130866683,0.9994571316388962,59.68363149012494,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Balanced,4K,lpips,179,-0.5347793926385063,1.2479222093328593e-14,-0.3472979345435606,1.906599631480873e-06,0.0006197382666339069,0.016656071707522997,0.999690130866683,0.9916719641462385,59.838961086797745,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Balanced,4K,flip,179,-0.5770657579840863,2.7940687360689965e-17,-0.6238977598798473,1.0654083836895029e-20,0.0006197382666339069,0.047775346088604065,0.999690130866683,0.9761123269556979,60.151842246607934,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Performance,1440p,ssim,179,0.27947966279108183,0.00015139704402147947,0.27258792458186104,0.00022286153298248495,0.000987871727875517,0.0009685330646761242,0.9995060641360622,0.999515733467662,59.68612837126573,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Performance,1440p,lpips,179,-0.05751560141849774,0.4444212254128492,-0.037598406584976235,0.6172968956029213,0.000987871727875517,0.019773169801115632,0.9995060641360622,0.9901134150994422,59.873840548354096,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Performance,1440p,flip,179,-0.4496263524923263,2.72112700215696e-10,-0.4865286546544967,5.020527564484457e-12,0.000987871727875517,0.041733769594189354,0.9995060641360622,0.9791331152029054,60.09455634694379,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Quality,4K,ssim,179,0.13795686214778663,0.06553047054650972,0.16212777620238886,0.03013651030939234,0.009885597918096296,0.0009723775891811344,0.9950572010409519,0.9995138112054094,59.77483895622302,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Quality,4K,lpips,179,-0.10721917914606452,0.1531288565419764,-0.36467264840406044,5.201677083565899e-07,0.009885597918096296,0.017298693023991327,0.9950572010409519,0.9913506534880043,59.93822971250975,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Quality,4K,flip,179,-0.17214116075637675,0.021212287167853974,-0.6430465351151181,2.863261335677007e-22,0.009885597918096296,0.036682755113695335,0.9950572010409519,0.9816586224431524,60.133385453801566,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Ultra_Performance,4K,ssim,178,0.11987063026299045,0.11099015631646782,0.03758754095717318,0.6183970919595629,0.0005195883457111395,0.0007881440746542076,0.9997402058271444,0.9996059279626729,59.34626817315295,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Ultra_Performance,4K,lpips,178,-0.5763076964741789,3.854732612954027e-17,-0.5797051402945069,2.2809428244957627e-17,0.0005195883457111395,0.006182654764184845,0.9997402058271444,0.9969086726179076,59.399685188464055,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
