comparison,resolution,mode,ssim,psnr,lpips,flip
1080p_DLAA_vs_Quality,1080p,Quality,0.8430005778147521,22.614137687216886,0.2291977241552076,5.6560544901054
1440p_DLAA_vs_Ultra_Performance,1440p,Ultra_Performance,0.8799466074511991,24.86414349481964,0.2119616074227421,4.438481135408305
1080p_DLAA_vs_Balanced,1080p,Balanced,0.8847350787850066,24.940185566526345,0.1829804352708369,4.21142808119012
1440p_DLAA_vs_Balanced,1440p,Balanced,0.8232396338239062,21.66886807564754,0.25831752674206676,6.551706927448677
1440p_DLAA_vs_Quality,1440p,Quality,0.8821488575562418,24.661133266789413,0.18022617765353713,4.233734481078287
4K_DLAA_vs_Performance,4K,Performance,0.8320397138595581,22.235435217472837,0.24789877885213776,5.955552341551754
1080p_DLAA_vs_Performance,1080p,Performance,0.8532984446546885,23.407337736091613,0.22504054263816867,5.2646440958510565
4K_DLAA_vs_Balanced,4K,Balanced,0.8455275363762286,23.387568589937352,0.22168872932065797,5.19538406353423
1440p_DLAA_vs_Performance,1440p,Performance,0.8850754109840819,24.925575401826283,0.18835863289969593,4.048754113346504
4K_DLAA_vs_Quality,4K,Quality,0.8445968438127187,23.119988189723546,0.21971444435958756,5.233678864200688
4K_DLAA_vs_Ultra_Performance,4K,Ultra_Performance,0.8212222483571016,21.758264661736433,0.28044155306656265,6.5242314811525395
1080p_DLAA_vs_Ultra_Performance,1080p,Ultra_Performance,0.8792822863802564,24.782498800881125,0.21404307951640816,4.5670879406635985
