resolution,mode,ssim,ssim_rank,psnr,psnr_rank,lpips,lpips_rank,flip,flip_rank
1080p,Quality,0.8430005778147521,4,22.614137687216886,4,0.2291977241552076,4,5.6560544901054,4
1080p,Balanced,0.8847350787850066,1,24.940185566526345,1,0.1829804352708369,1,4.21142808119012,1
1080p,Performance,0.8532984446546885,3,23.407337736091613,3,0.22504054263816867,3,5.2646440958510565,3
1080p,Ultra_Performance,0.8792822863802564,2,24.782498800881125,2,0.21404307951640816,2,4.5670879406635985,2
1440p,Ultra_Performance,0.8799466074511991,3,24.86414349481964,2,0.2119616074227421,3,4.438481135408305,3
1440p,Balanced,0.8232396338239062,4,21.66886807564754,4,0.25831752674206676,4,6.551706927448677,4
1440p,Quality,0.8821488575562418,2,24.661133266789413,3,0.18022617765353713,1,4.233734481078287,2
1440p,Performance,0.8850754109840819,1,24.925575401826283,1,0.18835863289969593,2,4.048754113346504,1
4K,Performance,0.8320397138595581,3,22.235435217472837,3,0.24789877885213776,3,5.955552341551754,3
4K,Balanced,0.8455275363762286,1,23.387568589937352,1,0.22168872932065797,2,5.19538406353423,1
4K,Quality,0.8445968438127187,2,23.119988189723546,2,0.21971444435958756,1,5.233678864200688,2
4K,Ultra_Performance,0.8212222483571016,4,21.758264661736433,4,0.28044155306656265,4,6.5242314811525395,4
