resolution,metric,effect_size,effect_label,std_dev,n_required
1440p,SSIM,0.2,small,0.02765486946759302,197
1440p,SSIM,0.5,medium,0.02765486946759302,32
1440p,SSIM,0.8,large,0.02765486946759302,13
1440p,SSIM,1.0,very_large,0.02765486946759302,8
1440p,LPIPS,0.2,small,0.02376622904098592,197
1440p,LPIPS,0.5,medium,0.02376622904098592,32
1440p,LPIPS,0.8,large,0.02376622904098592,13
1440p,LPIPS,1.0,very_large,0.02376622904098592,8
1080p,SSIM,0.2,small,0.03623513352476254,197
1080p,SSIM,0.5,medium,0.03623513352476254,32
1080p,SSIM,0.8,large,0.03623513352476254,13
1080p,SSIM,1.0,very_large,0.03623513352476254,8
1080p,LPIPS,0.2,small,0.04214220096607967,197
1080p,LPIPS,0.5,medium,0.04214220096607967,32
1080p,LPIPS,0.8,large,0.04214220096607967,13
1080p,LPIPS,1.0,very_large,0.04214220096607967,8
4K,SSIM,0.2,small,0.03461399850476948,197
4K,SSIM,0.5,medium,0.03461399850476948,32
4K,SSIM,0.8,large,0.03461399850476948,13
4K,SSIM,1.0,very_large,0.03461399850476948,8
4K,LPIPS,0.2,small,0.03319083381995244,197
4K,LPIPS,0.5,medium,0.03319083381995244,32
4K,LPIPS,0.8,large,0.03319083381995244,13
4K,LPIPS,1.0,very_large,0.03319083381995244,8
