comparison,metric,n_samples,test,statistic,p_value,significant,significant_bonferroni,mean_difference,ci_95_lower,ci_95_upper,cohens_d,effect_magnitude
1080p_DLAA_vs_Quality,ssim,179,paired_t_test,-62.99817643428674,1.2494866428253794e-123,True,True,-0.15699942218524784,-0.16191733690578108,-0.1520815074647146,-4.708704784636391,large
1080p_DLAA_vs_Quality,lpips,179,paired_t_test,88.28245325130544,6.758816438736472e-149,True,True,0.2291977241552076,0.22407445909076354,0.23432098921965164,6.5985403634257915,large
1080p_DLAA_vs_Quality,flip,179,paired_t_test,43.15842640340366,3.263581349755954e-96,True,True,5.6560544901054,5.397436399375818,5.914672580834982,3.225812244185561,large
1440p_DLAA_vs_Ultra_Performance,ssim,179,paired_t_test,-57.176042395227896,1.7437664083813632e-116,True,True,-0.12005339254880085,-0.12419692995600921,-0.11590985514159248,-4.273538055086578,large
1440p_DLAA_vs_Ultra_Performance,lpips,179,paired_t_test,101.29286957646114,2.566524933577613e-159,True,True,0.2119616074227421,0.2078321856091216,0.2160910292363626,7.570984536699198,large
1440p_DLAA_vs_Ultra_Performance,flip,179,paired_t_test,57.53894284429174,5.988914043225949e-117,True,True,4.438481135408305,4.286257034411464,4.590705236405147,4.300662508167152,large
1080p_DLAA_vs_Balanced,ssim,179,paired_t_test,-58.384057765231425,5.088470161772549e-118,True,True,-0.11526492121499345,-0.11916087503101505,-0.11136896739897184,-4.363829363099013,large
1080p_DLAA_vs_Balanced,lpips,179,paired_t_test,101.85674593959007,9.714916363544158e-160,True,True,0.1829804352708369,0.17943535742046832,0.1865255131212055,7.6131306348767875,large
1080p_DLAA_vs_Balanced,flip,179,paired_t_test,51.721548397980065,3.579845620658128e-109,True,True,4.21142808119012,4.050745504076368,4.372110658303872,3.865850032411797,large
1440p_DLAA_vs_Balanced,ssim,179,paired_t_test,-67.93840546543973,3.108188949271057e-129,True,True,-0.17676036617609375,-0.18189465695130938,-0.17162607540087813,-5.0779548390479565,large
1440p_DLAA_vs_Balanced,lpips,179,paired_t_test,93.41509900259678,3.5735901501056016e-153,True,True,0.25831752674206676,0.2528606051534619,0.2637744483306716,6.982172318743718,large
1440p_DLAA_vs_Balanced,flip,179,paired_t_test,44.85570172509432,6.047404093016611e-99,True,True,6.551706927448677,6.263471257495039,6.839942597402316,3.352672557934904,large
1440p_DLAA_vs_Quality,ssim,179,paired_t_test,-53.26364941151265,2.6289493320450653e-111,True,True,-0.11785114244375815,-0.122217444692312,-0.1134848401952043,-3.9811120738200554,large
1440p_DLAA_vs_Quality,lpips,179,paired_t_test,96.03195057191127,2.8752048701863302e-155,True,True,0.18022617765353713,0.1765226717632696,0.18392968354380465,7.177764988286581,large
1440p_DLAA_vs_Quality,flip,179,paired_t_test,47.350340826605716,8.307225503360268e-103,True,True,4.233734481078287,4.057288640007632,4.410180322148942,3.539130638756982,large
4K_DLAA_vs_Performance,ssim,179,paired_t_test,-69.9529467986747,2.063851736241056e-131,True,True,-0.1679602861404419,-0.17269846564355795,-0.16322210663732584,-5.228528727873866,large
4K_DLAA_vs_Performance,lpips,179,paired_t_test,90.37385869077886,1.1459702493634965e-150,True,True,0.24789877885213776,0.24248572335614296,0.2533118343481326,6.754859345289265,large
4K_DLAA_vs_Performance,flip,179,paired_t_test,48.51245151119799,1.5106235272982567e-104,True,True,5.955552341551754,5.71329344088925,6.197811242214258,3.625990869489606,large
1080p_DLAA_vs_Performance,ssim,179,paired_t_test,-57.33663201431184,1.0858580134971846e-116,True,True,-0.1467015553453115,-0.1517506493619597,-0.14165246132866333,-4.2855410867700785,large
1080p_DLAA_vs_Performance,lpips,179,paired_t_test,92.8415458510869,1.0463627962059695e-152,True,True,0.22504054263816867,0.22025722389957086,0.22982386137676647,6.939302943444025,large
1080p_DLAA_vs_Performance,flip,179,paired_t_test,46.699614181610144,8.127312437393524e-102,True,True,5.2646440958510565,5.042176561037175,5.487111630664938,3.4904930457311396,large
4K_DLAA_vs_Balanced,ssim,179,paired_t_test,-62.409831165936694,6.177805628161352e-123,True,True,-0.15447246362377146,-0.1593568384382309,-0.14958808880931201,-4.6647297946144555,large
4K_DLAA_vs_Balanced,lpips,179,paired_t_test,82.58801709815508,7.278467177716138e-144,True,True,0.22168872932065797,0.2163916375993831,0.22698582104193285,6.172918221995801,large
4K_DLAA_vs_Balanced,flip,179,paired_t_test,48.68801240142251,8.305517720288829e-105,True,True,5.19538406353423,4.984809198922821,5.4059589281456395,3.639112906516463,large
1440p_DLAA_vs_Performance,ssim,179,paired_t_test,-54.80709629891658,2.1764862084460572e-113,True,True,-0.11492458901591807,-0.11906255659498775,-0.11078662143684838,-4.096474710564499,large
1440p_DLAA_vs_Performance,lpips,179,paired_t_test,103.9265850208769,2.869821420295417e-161,True,True,0.18835863289969593,0.18478203768797027,0.19193522811142158,7.767837671447108,large
1440p_DLAA_vs_Performance,flip,179,paired_t_test,54.59482641948185,4.178207138140527e-113,True,True,4.048754113346504,3.902408122092585,4.1951001046004235,4.0806089148621245,large
4K_DLAA_vs_Quality,ssim,179,paired_t_test,-61.46060489018241,8.382639491530868e-122,True,True,-0.15540315618728126,-0.16039285030089215,-0.15041346207367037,-4.593781291668357,large
4K_DLAA_vs_Quality,lpips,179,paired_t_test,80.22693451163943,1.1115644366580346e-141,True,True,0.21971444435958756,0.214310021417645,0.22511886730153013,5.99644262379107,large
4K_DLAA_vs_Quality,flip,179,paired_t_test,46.286062663451446,3.5119124672192015e-101,True,True,5.233678864200688,5.010543837087024,5.4568138913143525,3.459582753997875,large
4K_DLAA_vs_Ultra_Performance,ssim,179,paired_t_test,-48.81491981414741,5.396036523932234e-105,True,True,-0.17877775164289847,-0.18600498052563116,-0.17155052276016577,-3.648598411896558,large
4K_DLAA_vs_Ultra_Performance,lpips,179,paired_t_test,98.9735176814906,1.4754836535614744e-157,True,True,0.28044155306656265,0.2748499765101315,0.2860331296229938,7.3976280368250285,large
4K_DLAA_vs_Ultra_Performance,flip,179,paired_t_test,52.959762264686006,6.854640399208344e-111,True,True,6.5242314811525395,6.281126278885928,6.767336683419151,3.9583984820426057,large
1080p_DLAA_vs_Ultra_Performance,ssim,179,paired_t_test,-59.83460960217225,7.959892881178853e-120,True,True,-0.12071771361974365,-0.12469905536409366,-0.11673637187539364,-4.472248697777549,large
1080p_DLAA_vs_Ultra_Performance,lpips,179,paired_t_test,112.60163723675876,2.2525709868729084e-167,True,True,0.21404307951640816,0.21029190384251623,0.2177942551903001,8.416241517207661,large
1080p_DLAA_vs_Ultra_Performance,flip,179,paired_t_test,53.74760943375281,5.771127938627629e-112,True,True,4.5670879406635985,4.399404128241818,4.734771753085379,4.017284944231185,large
1440p_DLAA_Consistency,ssim,179,paired_t_test,-50.272427807287,4.0803123578432525e-107,True,True,-0.10420569894034103,-0.10829616251521745,-0.1001152353654646,-3.7575376741004565,large
1440p_DLAA_Consistency,lpips,179,paired_t_test,85.01239073985839,4.79112410093452e-146,True,True,0.15143717754653047,0.14792188725314315,0.15495246783991778,6.354124415770987,large
1440p_DLAA_Consistency,flip,179,paired_t_test,50.96947046554809,4.120674795139196e-108,True,True,3.503514146338628,3.367868870922163,3.639159421755093,3.8096370884933997,large
1080p_DLAA_Consistency,ssim,179,paired_t_test,-58.258302071872144,7.328793240654129e-118,True,True,-0.1582259412584358,-0.1635855215662551,-0.1528663609506165,-4.354429941266006,large
1080p_DLAA_Consistency,lpips,179,paired_t_test,69.18056509673318,1.38898389102642e-130,True,True,0.21852006340742777,0.21228676195507873,0.22475336485977682,5.170798208970811,large
1080p_DLAA_Consistency,flip,179,paired_t_test,40.49237208320191,9.76301419997598e-92,True,True,5.4096475120363285,5.1460103264429335,5.6732846976297235,3.0265419883753912,large
4K_DLAA_Consistency,ssim,179,paired_t_test,-53.61375747295374,8.767309064966116e-112,True,True,-0.13909708055038025,-0.1442168769113974,-0.1339772841893631,-4.007280378957697,large
4K_DLAA_Consistency,lpips,179,paired_t_test,74.05908016346675,1.124443852217138e-135,True,True,0.18424108197818923,0.17933178754382614,0.1891503764125523,5.535435545110381,large
4K_DLAA_Consistency,flip,179,paired_t_test,47.86213177794546,1.40790217733213e-103,True,True,4.297577474037362,4.120386092473923,4.474768855600801,3.5773836904754046,large
