comparison,resolution,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,x_dw,y_dw,x_autocorr,y_autocorr,effective_n,x_autocorr_interpretation,y_autocorr_interpretation
1080p_DLAA_vs_Quality,1080p,ssim,544,0.20892206039790054,8.832999155001752e-07,0.2040872922201086,1.588624893130851e-06,0.0062179731882792705,0.0032678997636746915,0.9968910134058604,0.9983660501181627,181.6204714529461,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,lpips,544,-0.24990345179906376,3.435479604789525e-09,-0.23521506482307067,2.8311938664813233e-08,0.0062179731882792705,0.02975923009246853,0.9968910134058604,0.9851203849537657,182.42720343029166,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,flip,544,-0.2987102873309483,1.1265037630433846e-12,-0.269588262758206,1.6364121519330888e-10,0.0062179731882792705,0.07510885461381313,0.9968910134058604,0.9624455726930934,183.82498380054489,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,ssim,544,0.12099463359609375,0.004714017001418604,0.16155428816725337,0.00015415393177864464,0.004796204266721412,0.00579232676748431,0.9976018978666393,0.9971038366162579,181.6539080070696,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,lpips,544,-0.23606690722272425,2.514567764872116e-08,-0.2662836472432601,2.77677705043728e-10,0.004796204266721412,0.07549871643212741,0.9976018978666393,0.9622506417839363,183.79293992268336,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,flip,544,-0.28104726960753124,2.4720179177015116e-11,-0.2577677474337327,1.049429005325138e-09,0.004796204266721412,0.07144181260018471,0.9976018978666393,0.9642790936999076,183.66706884879832,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,ssim,544,0.20560273242911145,1.3236474557732807e-06,0.23502875238099888,2.9054179462628588e-08,0.003920291112923566,0.0033506080435278395,0.9980398544435383,0.998324695978236,181.55334267435032,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,lpips,544,-0.20050401773568538,2.4324653928003058e-06,-0.18228110086086496,1.889204958357298e-05,0.003920291112923566,0.01940631979966307,0.9980398544435383,0.9902968401001685,182.04106685611077,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,flip,544,-0.30129104298831233,7.044795050165739e-13,-0.2750403882730989,6.731522068324462e-11,0.003920291112923566,0.02872470556525648,0.9980398544435383,0.9856376472173718,182.32533499252986,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,ssim,544,0.12829623891433387,0.0027187225121151053,0.16928601867789536,7.248245067835756e-05,0.003941204970053781,0.004262714750299823,0.9980293975149731,0.9978686426248501,181.58161349663644,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,lpips,544,-0.18472753309653575,1.450920993989317e-05,-0.1805065819996383,2.2829291847800607e-05,0.003941204970053781,0.027185898826192812,0.9980293975149731,0.9864070505869036,182.2789694000648,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
