resolution,mode,ssim,ssim_rank,psnr,psnr_rank,lpips,lpips_rank,flip,flip_rank
1080p,Quality,0.6652310871354797,3,18.815969950137326,3,0.2947201386936392,3,11.24201645187157,3
1080p,Balanced,0.6568956207484007,4,18.517320204632526,4,0.3145249861751354,4,11.73812282299075,4
1080p,Performance,0.7850305263829582,1,22.310241762123272,1,0.1412362199078095,1,6.374434416182339,1
1080p,Ultra_Performance,0.6874067728125721,2,19.2450188686071,2,0.2781725342035157,2,10.461167644032644,2
1440p,Ultra_Performance,0.7765599007800441,2,21.50932637244768,2,0.18222739150480585,2,6.8812643583206565,2
1440p,Balanced,0.6798448934055427,4,18.62201388519967,4,0.31474450168282014,4,11.229240349000868,4
1440p,Quality,0.8619126811185304,1,23.77290576002562,1,0.11337157812222894,1,4.964903186732793,1
1440p,Performance,0.6873252972659162,3,18.840030942157227,3,0.2996907581058194,3,10.864303119371042,3
4K,Performance,0.7113209340639193,1,18.751804336737806,2,0.32710924952784004,2,10.905471327933757,2
4K,Balanced,0.7068032178589526,3,18.58400923053032,3,0.3377736673676683,3,11.281685617094968,3
4K,Quality,0.7096354390001473,2,18.784522043008618,1,0.3234688673264292,1,10.886803975054885,1
4K,Ultra_Performance,0.698487381779534,4,18.071731098796263,4,0.37866770742830874,4,12.365044957300757,4
