resolution,metric,effect_size,effect_label,std_dev,n_required
1440p,SSIM,0.2,small,0.08226397165337125,197
1440p,SSIM,0.5,medium,0.08226397165337125,32
1440p,SSIM,0.8,large,0.08226397165337125,13
1440p,SSIM,1.0,very_large,0.08226397165337125,8
1440p,LPIPS,0.2,small,0.09274144802063618,197
1440p,LPIPS,0.5,medium,0.09274144802063618,32
1440p,LPIPS,0.8,large,0.09274144802063618,13
1440p,LPIPS,1.0,very_large,0.09274144802063618,8
1080p,SSIM,0.2,small,0.08476078201157669,197
1080p,SSIM,0.5,medium,0.08476078201157669,32
1080p,SSIM,0.8,large,0.08476078201157669,13
1080p,SSIM,1.0,very_large,0.08476078201157669,8
1080p,LPIPS,0.2,small,0.0935716893336155,197
1080p,LPIPS,0.5,medium,0.0935716893336155,32
1080p,LPIPS,0.8,large,0.0935716893336155,13
1080p,LPIPS,1.0,very_large,0.0935716893336155,8
4K,SSIM,0.2,small,0.07364857326685974,197
4K,SSIM,0.5,medium,0.07364857326685974,32
4K,SSIM,0.8,large,0.07364857326685974,13
4K,SSIM,1.0,very_large,0.07364857326685974,8
4K,LPIPS,0.2,small,0.09319040008072463,197
4K,LPIPS,0.5,medium,0.09319040008072463,32
4K,LPIPS,0.8,large,0.09319040008072463,13
4K,LPIPS,1.0,very_large,0.09319040008072463,8
