comparison,metric,n_samples,test,statistic,p_value,significant,significant_bonferroni,mean_difference,ci_95_lower,ci_95_upper,cohens_d,effect_magnitude
1080p_DLAA_vs_Quality,ssim,544,paired_t_test,-93.9831217315911,0.0,True,True,-0.33476891286452026,-0.3417659220781822,-0.32777190365085834,-4.0294931010610116,large
1080p_DLAA_vs_Quality,lpips,544,paired_t_test,74.32952541934485,9.083720963075381e-287,True,True,0.2947201386936392,0.2869314267333104,0.30250885065396804,3.186852110932947,large
1080p_DLAA_vs_Quality,flip,544,paired_t_test,58.55706170073485,8.617361159885153e-237,True,True,11.24201645187157,10.864894224406132,11.61913867933701,2.5106133079446544,large
1440p_DLAA_vs_Ultra_Performance,ssim,544,paired_t_test,-73.81477599450066,2.8167844338498854e-285,True,True,-0.22344009921995595,-0.22938623743061928,-0.2174939610092926,-3.1647824114170224,large
1440p_DLAA_vs_Ultra_Performance,lpips,544,paired_t_test,56.105702649685,3.9093142029085816e-228,True,True,0.18222739150480585,0.17584734501944352,0.1886074379901682,2.4055121557118215,large
1440p_DLAA_vs_Ultra_Performance,flip,544,paired_t_test,52.053526569293936,3.1803505131165344e-213,True,True,6.8812643583206565,6.62158628819151,7.140942428449803,2.2317765395779756,large
1080p_DLAA_vs_Balanced,ssim,544,paired_t_test,-98.14971644630364,0.0,True,True,-0.3431043792515993,-0.3499711793108228,-0.33623757919237585,-4.208134375669877,large
1080p_DLAA_vs_Balanced,lpips,544,paired_t_test,79.97428884828481,1.3801876178547563e-302,True,True,0.3145249861751354,0.3067995687427631,0.32225040360750773,3.428869346314792,large
1080p_DLAA_vs_Balanced,flip,544,paired_t_test,66.03962430557269,1.1690897693457263e-261,True,True,11.73812282299075,11.388973466630775,12.087272179350725,2.8314255329371387,large
1440p_DLAA_vs_Balanced,ssim,544,paired_t_test,-94.12706708944094,0.0,True,True,-0.32015510659445734,-0.3268364392747961,-0.31347377391411857,-4.035664707363282,large
1440p_DLAA_vs_Balanced,lpips,544,paired_t_test,80.11034570038557,5.8931471664642e-303,True,True,0.31474450168282014,0.30702682223176697,0.3224621811338733,3.434702735723348,large
1440p_DLAA_vs_Balanced,flip,544,paired_t_test,63.56252694125039,1.1286808835369078e-253,True,True,11.229240349000868,10.882210833917796,11.57626986408394,2.72522085962676,large
1440p_DLAA_vs_Quality,ssim,544,paired_t_test,-50.09331232869283,9.931758518027975e-206,True,True,-0.1380873188814696,-0.14350222882324665,-0.13267240893969257,-2.1477330473681535,large
1440p_DLAA_vs_Quality,lpips,544,paired_t_test,38.901955556116704,3.9106167370708327e-159,True,True,0.11337157812222894,0.10764691481626257,0.1190962414281953,1.667907584287694,large
1440p_DLAA_vs_Quality,flip,544,paired_t_test,35.751430742847035,8.398786235413958e-145,True,True,4.964903186732793,4.692109353779158,5.237697019686428,1.5328299473046652,large
4K_DLAA_vs_Performance,ssim,544,paired_t_test,-87.49280212049723,2.96e-322,True,True,-0.28867906593608067,-0.2951603365612706,-0.28219779531089073,-3.7512229434546933,large
4K_DLAA_vs_Performance,lpips,544,paired_t_test,80.64729646855157,2.0744678648351135e-304,True,True,0.32710924952784004,0.3191417838422738,0.33507671521340626,3.4577243099812622,large
4K_DLAA_vs_Performance,flip,544,paired_t_test,60.93428327302575,6.143838722773178e-245,True,True,10.905471327933757,10.553910949500724,11.25703170636679,2.6125358419991898,large
1080p_DLAA_vs_Performance,ssim,544,paired_t_test,-71.02138873609641,4.952286935593381e-277,True,True,-0.2149694736170418,-0.22091519868054302,-0.20902374855354058,-3.0450169207741626,large
1080p_DLAA_vs_Performance,lpips,544,paired_t_test,47.22831844255781,1.980919291993814e-194,True,True,0.1412362199078095,0.13536185673156986,0.14711058308404912,2.0248974478896304,large
1080p_DLAA_vs_Performance,flip,544,paired_t_test,47.77372759453344,1.2983955837886422e-196,True,True,6.374434416182339,6.11233278815213,6.636536044212549,2.0482816723615294,large
4K_DLAA_vs_Balanced,ssim,544,paired_t_test,-92.33542597019517,0.0,True,True,-0.2931967821410474,-0.29943424586340417,-0.2869593184186906,-3.9588487281048352,large
4K_DLAA_vs_Balanced,lpips,544,paired_t_test,82.10076976138714,2.6504563886949124e-308,True,True,0.3377736673676683,0.32969209715492054,0.34585523758041603,3.5200414632971917,large
4K_DLAA_vs_Balanced,flip,544,paired_t_test,60.1520573847082,2.7727201880028907e-242,True,True,11.281685617094968,10.913267738654428,11.65010349553551,2.5789981837221143,large
1440p_DLAA_vs_Performance,ssim,544,paired_t_test,-90.87765860536645,0.0,True,True,-0.3126747027340838,-0.319433241459953,-0.30591616400821464,-3.896347467971073,large
1440p_DLAA_vs_Performance,lpips,544,paired_t_test,76.06196739511239,1.0003988863563882e-291,True,True,0.2996907581058194,0.2919510784439578,0.30743043776768103,3.261129947854353,large
1440p_DLAA_vs_Performance,flip,544,paired_t_test,57.81609640417053,3.3428275219703603e-234,True,True,10.864303119371042,10.495180806436935,11.23342543230515,2.4788446829445347,large
4K_DLAA_vs_Quality,ssim,544,paired_t_test,-87.47008889228333,3.36e-322,True,True,-0.29036456099985275,-0.2968853662823873,-0.2838437557173182,-3.7502491218290173,large
4K_DLAA_vs_Quality,lpips,544,paired_t_test,79.16420779810326,2.2465502868693717e-300,True,True,0.3234688673264292,0.31544246716629076,0.33149526748656766,3.394137407825568,large
4K_DLAA_vs_Quality,flip,544,paired_t_test,59.46399298249952,6.295513305321205e-240,True,True,10.886803975054885,10.527167671777915,11.246440278331855,2.5494976658556854,large
4K_DLAA_vs_Ultra_Performance,ssim,544,paired_t_test,-98.25435214298048,0.0,True,True,-0.30151261822046604,-0.30754058549352453,-0.29548465094740756,-4.212620594153746,large
4K_DLAA_vs_Ultra_Performance,lpips,544,paired_t_test,93.4078789653045,0.0,True,True,0.37866770742830874,0.3707044280962422,0.3866309867603753,4.004829770928109,large
4K_DLAA_vs_Ultra_Performance,flip,544,paired_t_test,65.88818236581207,3.5424019993547303e-261,True,True,12.365044957300757,11.996402490983572,12.733687423617942,2.8249325133370933,large
1080p_DLAA_vs_Ultra_Performance,ssim,545,paired_t_test,-94.28204395305114,0.0,True,True,-0.3125932271874279,-0.3191060007968346,-0.30608045357802116,-4.0385990422161395,large
1080p_DLAA_vs_Ultra_Performance,lpips,545,paired_t_test,72.76456100743808,1.5862777781496245e-282,True,True,0.2781725342035157,0.27066305635854054,0.2856820120484908,3.1168913408183188,large
1080p_DLAA_vs_Ultra_Performance,flip,545,paired_t_test,57.38503695830475,6.350871173251241e-233,True,True,10.461167644032644,10.103073760482992,10.819261527582295,2.4581049113949267,large
1440p_DLAA_Consistency,ssim,544,paired_t_test,-86.28739740141184,3.37427e-319,True,True,-0.30461909838349505,-0.3115537867373339,-0.2976844100296562,-3.699541642492881,large
1440p_DLAA_Consistency,lpips,544,paired_t_test,68.17302404061776,2.375245594610115e-268,True,True,0.271322941460633,0.2635050227948923,0.27914086012637374,2.9228942919630474,large
1440p_DLAA_Consistency,flip,544,paired_t_test,58.708633605335024,2.563027722142372e-237,True,True,10.084085412159125,9.746680242049951,10.421490582268298,2.5171118997412263,large
1080p_DLAA_Consistency,ssim,544,paired_t_test,-94.14213987120503,0.0,True,True,-0.34243575587649555,-0.3495809203520776,-0.3352905914009135,-4.036310947549959,large
1080p_DLAA_Consistency,lpips,544,paired_t_test,75.12540005918783,4.664811734840392e-289,True,True,0.3016694650714806,0.29378155872281775,0.3095573714201435,3.220974954603916,large
1080p_DLAA_Consistency,flip,544,paired_t_test,58.651979405812845,4.031591796839692e-237,True,True,11.480468770434314,11.095970723312048,11.86496681755658,2.5146828709761175,large
4K_DLAA_Consistency,ssim,544,paired_t_test,-87.24681748809283,1.245e-321,True,True,-0.27574904520502863,-0.2819574726982034,-0.26954061771185384,-3.740676439348654,large
4K_DLAA_Consistency,lpips,544,paired_t_test,72.42454979834318,3.318047591727285e-281,True,True,0.28963901754297483,0.2817832531160831,0.29749478196986656,3.105176954999757,large
