comparison,resolution,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,x_dw,y_dw,x_autocorr,y_autocorr,effective_n,x_autocorr_interpretation,y_autocorr_interpretation
1080p_DLAA_vs_Quality,1080p,ssim,789,0.0902594323367395,0.011197650414997614,0.12137205857520411,0.000634386410573054,0.003027996200536439,0.00287247991861968,0.9984860018997318,0.9985637600406901,263.25889213436574,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,lpips,789,-0.04190080837138745,0.2397514962450287,-0.04382858345239569,0.21879204826966572,0.003027996200536439,0.004069709607599018,0.9984860018997318,0.9979651451962005,263.31148457557015,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,flip,789,-0.07703478363486413,0.030493039623318882,-0.08276255015065999,0.020070181228553474,0.003027996200536439,0.007412671076384404,0.9984860018997318,0.9962936644618078,263.45844699773295,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,ssim,793,-0.014946853109304437,0.6742906135151885,-0.020362119716309635,0.5669444428302476,0.0027214349741295175,0.002485024731452893,0.9986392825129352,0.9987574876342735,264.562906018296,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,lpips,793,0.038673194470443595,0.2767116391198596,0.05165253718132839,0.14616147423569992,0.0027214349741295175,0.004218269351259236,0.9986392825129352,0.9978908653243704,264.6394198878106,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,flip,793,-0.05542100556640053,0.1189002097161496,0.006209425526393148,0.86140584234968,0.0027214349741295175,0.0062323626691060344,0.9986392825129352,0.996883818665447,264.72838740186944,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,ssim,787,-0.041870838217402825,0.24068677515258732,0.013538095153064379,0.7045356854455929,0.002274972538373234,0.0025162433674631363,0.9988625137308134,0.9987418783162685,262.5429833529677,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,lpips,787,0.0752746213159598,0.03474157328384061,0.06917339003477732,0.05240441479815374,0.002274972538373234,0.003966190172585928,0.9988625137308134,0.998016904913707,262.6064949773514,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,flip,787,0.08807098413534475,0.013451815555660588,0.04531358624842409,0.20414256582842585,0.002274972538373234,0.00560027070353246,0.9988625137308134,0.9971998646482337,262.67810900045043,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,ssim,790,0.06601571354481567,0.06365551938823184,0.10184039015491671,0.004165591085347847,0.0008053699624158102,0.002382665045570682,0.9995973150187921,0.9988086674772146,263.473327031708,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,lpips,790,0.01942875864999591,0.5855680332996662,0.02028433963179494,0.5691617278152825,0.0008053699624158102,0.003955221444094787,0.9995973150187921,0.9980223892779526,263.54243630959104,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,flip,790,-0.014785451680770355,0.6781869748347696,-0.021507289250217585,0.5460985151850599,0.0008053699624158102,0.005506164083769619,0.9995973150187921,0.9972469179581152,263.6106312456739,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,ssim,788,0.057952841945152385,0.104035265830484,0.09268320452119756,0.009235359218342596,0.005470920213973694,0.002136747132761902,0.9972645398930131,0.9989316264336191,263.000136258133,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,lpips,788,-0.002873048553073491,0.9358217387382762,0.028294961259333583,0.4276756710503208,0.005470920213973694,0.004533813274755982,0.9972645398930131,0.9977330933626221,263.105383206405,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,flip,788,-0.022195092637253097,0.5338540738393729,-0.003445653881871645,0.9230672023589666,0.005470920213973694,0.004855550143982154,0.9972645398930131,0.9975722249280089,263.11951598039525,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
