comparison,resolution,mode,ssim,psnr,lpips,flip
1080p_DLAA_vs_Quality,1080p,Quality,0.4766908912907673,17.05306928620278,0.47296894378370685,16.951244189184678
1440p_DLAA_vs_Ultra_Performance,1440p,Ultra_Performance,0.5065262032740879,17.082710433195256,0.4748399813259009,16.527536797963204
1080p_DLAA_vs_Balanced,1080p,Balanced,0.47369880218820926,16.90927425491684,0.4886984311238291,17.639423697505247
1440p_DLAA_vs_Balanced,1440p,Balanced,0.4798572361846513,16.664134227856778,0.49665614394588936,17.775518148684803
1440p_DLAA_vs_Quality,1440p,Quality,0.4976862004300967,17.321452622874837,0.46496037196315976,16.834197004774804
4K_DLAA_vs_Performance,4K,Performance,0.43711448721172197,14.627471161801694,0.5945408047699684,22.45580507296021
1080p_DLAA_vs_Performance,1080p,Performance,0.4952705368945933,17.712991266433534,0.4508858408906065,16.37102869501533
4K_DLAA_vs_Balanced,4K,Balanced,0.37094277992863045,13.170196176588462,0.6680111572737292,26.023636020396868
1440p_DLAA_vs_Performance,1440p,Performance,0.5512654147810241,19.130653986618245,0.36119302851640867,12.183563640598639
4K_DLAA_vs_Quality,4K,Quality,0.4470574933965251,14.99741593597262,0.5786288767725042,21.121373263170135
4K_DLAA_vs_Ultra_Performance,4K,Ultra_Performance,0.5000279020400917,15.956621672757999,0.5290244496468478,18.529787221569684
1080p_DLAA_vs_Ultra_Performance,1080p,Ultra_Performance,0.4959286618605256,17.21146095861028,0.48080204032361507,16.497515645325183
