resolution,mode,ssim,ssim_rank,psnr,psnr_rank,lpips,lpips_rank,flip,flip_rank
1080p,Quality,0.4766908912907673,3,17.05306928620278,3,0.47296894378370685,2,16.951244189184678,3
1080p,Balanced,0.47369880218820926,4,16.90927425491684,4,0.4886984311238291,4,17.639423697505247,4
1080p,Performance,0.4952705368945933,2,17.712991266433534,1,0.4508858408906065,1,16.37102869501533,1
1080p,Ultra_Performance,0.4959286618605256,1,17.21146095861028,2,0.48080204032361507,3,16.497515645325183,2
1440p,Ultra_Performance,0.5065262032740879,2,17.082710433195256,3,0.4748399813259009,3,16.527536797963204,2
1440p,Balanced,0.4798572361846513,4,16.664134227856778,4,0.49665614394588936,4,17.775518148684803,4
1440p,Quality,0.4976862004300967,3,17.321452622874837,2,0.46496037196315976,2,16.834197004774804,3
1440p,Performance,0.5512654147810241,1,19.130653986618245,1,0.36119302851640867,1,12.183563640598639,1
4K,Performance,0.43711448721172197,3,14.627471161801694,3,0.5945408047699684,3,22.45580507296021,3
4K,Balanced,0.37094277992863045,4,13.170196176588462,4,0.6680111572737292,4,26.023636020396868,4
4K,Quality,0.4470574933965251,2,14.99741593597262,2,0.5786288767725042,2,21.121373263170135,2
4K,Ultra_Performance,0.5000279020400917,1,15.956621672757999,1,0.5290244496468478,1,18.529787221569684,1
