resolution,metric,effect_size,effect_label,std_dev,n_required
1440p,SSIM,0.2,small,0.15739036124814354,197
1440p,SSIM,0.5,medium,0.15739036124814354,32
1440p,SSIM,0.8,large,0.15739036124814354,13
1440p,SSIM,1.0,very_large,0.15739036124814354,8
1440p,LPIPS,0.2,small,0.1607367873868351,197
1440p,LPIPS,0.5,medium,0.1607367873868351,32
1440p,LPIPS,0.8,large,0.1607367873868351,13
1440p,LPIPS,1.0,very_large,0.1607367873868351,8
1080p,SSIM,0.2,small,0.14271617425536956,197
1080p,SSIM,0.5,medium,0.14271617425536956,32
1080p,SSIM,0.8,large,0.14271617425536956,13
1080p,SSIM,1.0,very_large,0.14271617425536956,8
1080p,LPIPS,0.2,small,0.13999221204471823,197
1080p,LPIPS,0.5,medium,0.13999221204471823,32
1080p,LPIPS,0.8,large,0.13999221204471823,13
1080p,LPIPS,1.0,very_large,0.13999221204471823,8
4K,SSIM,0.2,small,0.1376135970842411,197
4K,SSIM,0.5,medium,0.1376135970842411,32
4K,SSIM,0.8,large,0.1376135970842411,13
4K,SSIM,1.0,very_large,0.1376135970842411,8
4K,LPIPS,0.2,small,0.15258001541411462,197
4K,LPIPS,0.5,medium,0.15258001541411462,32
4K,LPIPS,0.8,large,0.15258001541411462,13
4K,LPIPS,1.0,very_large,0.15258001541411462,8
