comparison,metric,n_samples,test,statistic,p_value,significant,significant_bonferroni,mean_difference,ci_95_lower,ci_95_upper,cohens_d,effect_magnitude
1080p_DLAA_vs_Quality,ssim,790,paired_t_test,-93.19278912522128,0.0,True,True,-0.5233091087092328,-0.5343318800458932,-0.5122863373725723,-3.3156506406446904,large
1080p_DLAA_vs_Quality,lpips,790,paired_t_test,86.59301012356295,0.0,True,True,0.47296894378370685,0.4622472203110806,0.4836906672563331,3.080841041314439,large
1080p_DLAA_vs_Quality,flip,790,paired_t_test,63.23800354400699,3.6873297805635e-311,True,True,16.951244189184678,16.425059455856854,17.4774289225125,2.249907197026175,large
1440p_DLAA_vs_Ultra_Performance,ssim,793,paired_t_test,-90.27244201042399,0.0,True,True,-0.493473796725912,-0.5042043272005787,-0.48274326625124536,-3.205668408487846,large
1440p_DLAA_vs_Ultra_Performance,lpips,793,paired_t_test,89.24277495216616,0.0,True,True,0.4748399813259009,0.4643955090896156,0.4852844535621862,3.1691038591480085,large
1440p_DLAA_vs_Ultra_Performance,flip,793,paired_t_test,61.98657046530001,4.541285089459392e-306,True,True,16.527536797963204,16.004149943589663,17.050923652336746,2.2012076583479674,large
1080p_DLAA_vs_Balanced,ssim,787,paired_t_test,-90.67260423997075,0.0,True,True,-0.5263011978117907,-0.5376951824467636,-0.5149072131768179,-3.232129277921508,large
1080p_DLAA_vs_Balanced,lpips,787,paired_t_test,85.20347786569947,0.0,True,True,0.4886984311238291,0.477439400951724,0.4999574612959342,3.0371759772293627,large
1080p_DLAA_vs_Balanced,flip,787,paired_t_test,66.73426294327243,0.0,True,True,17.639423697505247,17.120560480086446,18.158286914924048,2.3788195663666616,large
1440p_DLAA_vs_Balanced,ssim,790,paired_t_test,-97.80834625907889,0.0,True,True,-0.5201427638153486,-0.5305818253810394,-0.5097037022496579,-3.4798647940299277,large
1440p_DLAA_vs_Balanced,lpips,790,paired_t_test,88.65278350525243,0.0,True,True,0.49665614394588936,0.48565904202483284,0.5076532458669459,3.154124489494158,large
1440p_DLAA_vs_Balanced,flip,790,paired_t_test,66.69804187656953,0.0,True,True,17.775518148684803,17.252370835906415,18.29866546146319,2.3730098364224603,large
1440p_DLAA_vs_Quality,ssim,788,paired_t_test,-80.79158755838898,0.0,True,True,-0.5023137995699033,-0.5145184537055717,-0.4901091454342349,-2.8780811386875595,large
1440p_DLAA_vs_Quality,lpips,788,paired_t_test,73.58185024489762,0.0,True,True,0.46496037196315976,0.4525563723123202,0.4773643716139993,2.621244881300551,large
1440p_DLAA_vs_Quality,flip,788,paired_t_test,58.25705574211502,1.2473928233977333e-287,True,True,16.834197004774804,16.266965449623005,17.401428559926604,2.075321681303454,large
4K_DLAA_vs_Performance,ssim,807,paired_t_test,-135.4191308029868,0.0,True,True,-0.562885512788278,-0.5710445852564772,-0.5547264403200789,-4.766979173745152,large
4K_DLAA_vs_Performance,lpips,807,paired_t_test,133.05952270275372,0.0,True,True,0.5945408047699684,0.585770060535444,0.6033115490044928,4.683917034700885,large
4K_DLAA_vs_Performance,flip,807,paired_t_test,87.08904974333696,0.0,True,True,22.45580507296021,21.9496707154703,22.96193943045012,3.06567974499646,large
1080p_DLAA_vs_Performance,ssim,791,paired_t_test,-80.67408969180026,0.0,True,True,-0.5047294631054067,-0.5170105994422959,-0.49244832676851746,-2.8684404083462183,large
1080p_DLAA_vs_Performance,lpips,791,paired_t_test,72.45320786034293,0.0,True,True,0.4508858408906065,0.43867001179613935,0.4631016699850737,2.576139500735379,large
1080p_DLAA_vs_Performance,flip,791,paired_t_test,60.506302145887794,8.255917785577968e-299,True,True,16.37102869501533,15.839912765470022,16.902144624560638,2.1513564354790677,large
4K_DLAA_vs_Balanced,ssim,807,paired_t_test,-241.49762832467795,0.0,True,True,-0.6290572200713695,-0.6341702463238466,-0.6239441938188925,-8.501119139565443,large
4K_DLAA_vs_Balanced,lpips,807,paired_t_test,359.58529542114485,0.0,True,True,0.6680111572737292,0.6643646042433848,0.6716577103040735,12.658001895990523,large
4K_DLAA_vs_Balanced,flip,807,paired_t_test,130.13662370181723,0.0,True,True,26.023636020396868,25.631109339342952,26.416162701450784,4.581026116838656,large
1440p_DLAA_vs_Performance,ssim,803,paired_t_test,-91.76280986464785,0.0,True,True,-0.44873458521897586,-0.4583336039298814,-0.43913556650807034,-3.2382392387979224,large
1440p_DLAA_vs_Performance,lpips,803,paired_t_test,78.54803334024264,0.0,True,True,0.36119302851640867,0.3521667642956779,0.37021929273713944,2.771899902236688,large
1440p_DLAA_vs_Performance,flip,803,paired_t_test,68.16934361164822,0.0,True,True,12.183563640598639,11.832739699848213,12.534387581349064,2.405643895298616,large
4K_DLAA_vs_Quality,ssim,795,paired_t_test,-130.71000205664564,0.0,True,True,-0.5529425066034749,-0.5612464000482049,-0.5446386131587448,-4.635806041824792,large
4K_DLAA_vs_Quality,lpips,795,paired_t_test,131.4837119451429,0.0,True,True,0.5786288767725042,0.5699903683795616,0.5872673851654467,4.6632467037426215,large
4K_DLAA_vs_Quality,flip,795,paired_t_test,86.24129207753762,0.0,True,True,21.121373263170135,20.64062523756427,21.602121288776,3.058663427260644,large
4K_DLAA_vs_Ultra_Performance,ssim,795,paired_t_test,-103.04256198511862,0.0,True,True,-0.4999720979599083,-0.5094965441453936,-0.4904476517744231,-3.6545430640319676,large
4K_DLAA_vs_Ultra_Performance,lpips,795,paired_t_test,110.13122614595359,0.0,True,True,0.5290244496468478,0.519595227190572,0.5384536721031236,3.9059520735048965,large
4K_DLAA_vs_Ultra_Performance,flip,795,paired_t_test,73.32517433251773,0.0,True,True,18.529787221569684,18.033734381614018,19.02584006152535,2.600575937878347,large
1080p_DLAA_vs_Ultra_Performance,ssim,800,paired_t_test,-98.95281919318175,0.0,True,True,-0.5040713381394744,-0.5140706541849518,-0.494072022093997,-3.4985104734512587,large
1080p_DLAA_vs_Ultra_Performance,lpips,800,paired_t_test,95.08648463290208,0.0,True,True,0.48080204032361507,0.4708765042185537,0.4907275764286764,3.361814904155775,large
1080p_DLAA_vs_Ultra_Performance,flip,800,paired_t_test,70.53220489556408,0.0,True,True,16.497515645325183,16.03838365698972,16.956647633660648,2.4936900186846183,large
1440p_DLAA_Consistency,ssim,792,paired_t_test,-89.27152158930924,0.0,True,True,-0.49957745081999083,-0.5105625255888772,-0.4885923760511045,-3.1721253921660124,large
1440p_DLAA_Consistency,lpips,792,paired_t_test,78.88632981092493,0.0,True,True,0.4508465940739508,0.4396279551842977,0.46206523296360386,2.803103671059024,large
1440p_DLAA_Consistency,flip,792,paired_t_test,60.5992454487901,1.9319076064017005e-299,True,True,16.32297126316663,15.794227659961333,16.851714866371925,2.1533004233819195,large
