frame_index,timestamp,ssim,mse,psnr,lpips,flip,fps,fps_interpolated,optical_flow,resolution,comparison
0,0.0,0.4849577248096466,1967.3626708984375,15.191959341201901,0.44696739315986633,17.312171936035156,,,,1080p,1080p_DLAA_vs_Quality
10,0.167,0.6243900656700134,2531.61572265625,14.096825766614012,0.3538627028465271,20.797334671020508,240.6,False,,1080p,1080p_DLAA_vs_Quality
20,0.333,0.6594691872596741,2101.562255859375,14.905381009657997,0.2987511157989502,19.35222625732422,228.0,False,279.8237304840618,1080p,1080p_DLAA_vs_Quality
30,0.5,0.7294511795043945,1786.91650390625,15.609761008860243,0.23185768723487854,17.85787010192871,240.0,False,403.0334473762059,1080p,1080p_DLAA_vs_Quality
40,0.667,0.6984049081802368,1498.14111328125,16.37527638403657,0.2705882787704468,16.57317543029785,240.0,True,209.5324706624515,1080p,1080p_DLAA_vs_Quality
50,0.833,0.9597370624542236,33.68622970581055,32.856279550987615,0.12098425626754761,2.146300792694092,241.9,False,50.70166015395807,1080p,1080p_DLAA_vs_Quality
60,1.0,0.9528231620788574,32.56251525878906,33.003624167139435,0.13641542196273804,1.8573640584945679,237.8,False,0.2060966532611701,1080p,1080p_DLAA_vs_Quality
70,1.167,0.9489656090736389,32.453792572021484,33.01814904820669,0.12439435720443726,1.7252147197723389,244.7,False,0.07439423342950846,1080p,1080p_DLAA_vs_Quality
80,1.333,0.9403569102287292,33.74295425415039,32.84897257715312,0.11969815194606781,1.636011004447937,238.9,False,1.3719368020964993,1080p,1080p_DLAA_vs_Quality
90,1.5,0.9371277093887329,33.742431640625,32.84903984154444,0.11325405538082123,1.6110249757766724,237.4,False,0.6297073298172648,1080p,1080p_DLAA_vs_Quality
100,1.667,0.9327543377876282,35.4044303894043,32.64022749314476,0.12006069719791412,1.6688531637191772,238.6,False,0.6285438589693797,1080p,1080p_DLAA_vs_Quality
110,1.833,0.940518856048584,31.017486572265625,33.21473757977713,0.12163417041301727,1.5700538158416748,224.2,False,3.2219772413284673,1080p,1080p_DLAA_vs_Quality
120,2.0,0.929568886756897,36.80081558227539,32.472229172227415,0.12781687080860138,1.6878252029418945,241.3,False,0.28844833874864406,1080p,1080p_DLAA_vs_Quality
130,2.167,0.922364354133606,43.137603759765625,31.782243439496604,0.13193783164024353,1.7858548164367676,236.8,False,0.6135292139661246,1080p,1080p_DLAA_vs_Quality
140,2.333,0.9178535342216492,45.06026840209961,31.59286586591425,0.11587337404489517,1.8199541568756104,244.5,False,0.5683212290883901,1080p,1080p_DLAA_vs_Quality
150,2.5,0.9368733763694763,33.36143112182617,32.8983568835722,0.11633310467004776,1.6509979963302612,232.2,False,3.5339508089517366,1080p,1080p_DLAA_vs_Quality
160,2.667,0.9277917742729187,39.181640625,32.199977439241785,0.11486323922872543,1.7482690811157227,241.5,False,1.448085784973884,1080p,1080p_DLAA_vs_Quality
170,2.833,0.9326208829879761,34.35587692260742,32.770793226238176,0.11865787208080292,1.6486937999725342,243.1,False,2.434650425673979,1080p,1080p_DLAA_vs_Quality
180,3.0,0.936556339263916,32.21916198730469,33.04966120533388,0.11171632260084152,1.5820144414901733,229.1,False,1.3607826255744513,1080p,1080p_DLAA_vs_Quality
190,3.167,0.9259517788887024,37.247276306152344,32.41985840252227,0.11637698113918304,1.667116403579712,242.5,False,1.0499801682330343,1080p,1080p_DLAA_vs_Quality
200,3.333,0.926401674747467,38.84935760498047,32.23696518964408,0.11465218663215637,1.6636260747909546,244.9,False,1.2028579730763695,1080p,1080p_DLAA_vs_Quality
210,3.5,0.9318333864212036,33.790679931640625,32.84283430188347,0.11750630289316177,1.5892112255096436,228.1,False,2.169017794445182,1080p,1080p_DLAA_vs_Quality
220,3.667,0.9144766926765442,41.2596321105957,31.975550095781003,0.12392396479845047,1.7368414402008057,239.9,False,0.6721229571761356,1080p,1080p_DLAA_vs_Quality
230,3.833,0.9018598198890686,45.812767028808594,31.520938375037147,0.12394502758979797,1.828362226486206,240.6,False,2.8540992759741854,1080p,1080p_DLAA_vs_Quality
240,4.0,0.9114755988121033,40.5496940612793,32.05092778966837,0.1246505081653595,1.7290369272232056,226.5,False,2.7394027714197904,1080p,1080p_DLAA_vs_Quality
250,4.167,0.8988330364227295,47.762203216552734,31.339960087700092,0.13868550956249237,1.8528125286102295,238.1,False,1.4600219758422597,1080p,1080p_DLAA_vs_Quality
