resolution,metric,effect_size,effect_label,std_dev,n_required
1440p,SSIM,0.2,small,0.09305890023016554,197
1440p,SSIM,0.5,medium,0.09305890023016554,32
1440p,SSIM,0.8,large,0.09305890023016554,13
1440p,SSIM,1.0,very_large,0.09305890023016554,8
1440p,LPIPS,0.2,small,0.08447235984634793,197
1440p,LPIPS,0.5,medium,0.08447235984634793,32
1440p,LPIPS,0.8,large,0.08447235984634793,13
1440p,LPIPS,1.0,very_large,0.08447235984634793,8
1080p,SSIM,0.2,small,0.10591861785844156,197
1080p,SSIM,0.5,medium,0.10591861785844156,32
1080p,SSIM,0.8,large,0.10591861785844156,13
1080p,SSIM,1.0,very_large,0.10591861785844156,8
1080p,LPIPS,0.2,small,0.07718331641856482,197
1080p,LPIPS,0.5,medium,0.07718331641856482,32
1080p,LPIPS,0.8,large,0.07718331641856482,13
1080p,LPIPS,1.0,very_large,0.07718331641856482,8
