comparison,metric,n_samples,test,statistic,p_value,significant,significant_bonferroni,mean_difference,ci_95_lower,ci_95_upper,cohens_d,effect_magnitude
1080p_DLAA_vs_Quality,ssim,705,paired_t_test,-49.362470596758776,8.461791487298251e-231,True,True,-0.18406498305341032,-0.19138597058151352,-0.17674399552530712,-1.8590981964748372,large
1080p_DLAA_vs_Quality,lpips,705,paired_t_test,65.05280176670851,6.208038883743677e-300,True,True,0.20027255911564995,0.19422819217955906,0.20631692605174085,2.450030255334586,large
1080p_DLAA_vs_Quality,flip,705,paired_t_test,28.142831868745173,2.416964173143107e-117,True,True,6.511834087777645,6.057546458623574,6.966121716931716,1.0599203674038584,large
1440p_DLAA_vs_Ultra_Performance,ssim,704,paired_t_test,-39.14280670128759,9.613746596500336e-179,True,True,-0.15675802597119895,-0.1646207723351527,-0.1488952796072452,-1.47525003488159,large
1440p_DLAA_vs_Ultra_Performance,lpips,704,paired_t_test,69.81194897869881,2.293166e-318,True,True,0.21164238340729338,0.20569029566332878,0.217594471151258,2.6311368255202137,large
1440p_DLAA_vs_Ultra_Performance,flip,704,paired_t_test,27.358723382423484,8.864982346631607e-113,True,True,5.916937957687134,5.492320710108539,6.3415552052657285,1.0311206841207008,large
1080p_DLAA_vs_Balanced,ssim,705,paired_t_test,-40.42097287329753,1.1948807655283164e-185,True,True,-0.13400992070529477,-0.14051909001277965,-0.1275007513978099,-1.5223419099578053,large
1080p_DLAA_vs_Balanced,lpips,705,paired_t_test,58.26759815550262,1.5758852007037622e-271,True,True,0.16900047220236866,0.1633059645420227,0.17469497986271462,2.194484703343197,large
1080p_DLAA_vs_Balanced,flip,705,paired_t_test,26.526204402162115,5.064562961641294e-108,True,True,5.14726578411481,4.766290446940806,5.528241121288815,0.9990346546110798,large
1440p_DLAA_vs_Balanced,ssim,704,paired_t_test,-43.11458931506394,1.3958542834067059e-199,True,True,-0.17761263130920601,-0.18570072248750996,-0.16952454013090207,-1.624942224412876,large
1440p_DLAA_vs_Balanced,lpips,704,paired_t_test,69.68400081756549,7.07766e-318,True,True,0.20466100094331938,0.1988946846523961,0.21042731723424266,2.626314597757769,large
1440p_DLAA_vs_Balanced,flip,704,paired_t_test,29.016426512594276,2.5744633041888783e-122,True,True,6.285358148711649,5.860070718514258,6.710645578909039,1.093597721581771,large
1440p_DLAA_vs_Quality,ssim,704,paired_t_test,-47.56851840116757,6.104555288955694e-222,True,True,-0.15205740653486413,-0.15833342767644937,-0.1457813853932789,-1.7928059928385154,large
1440p_DLAA_vs_Quality,lpips,704,paired_t_test,67.53952650739512,1.427451901274295e-309,True,True,0.18363277717302975,0.17829465346084045,0.18897090088521906,2.5454916811737767,large
1440p_DLAA_vs_Quality,flip,704,paired_t_test,29.77936375730619,1.087627173117221e-126,True,True,5.453293416649103,5.093759476073975,5.812827357224231,1.1223520008919639,large
1080p_DLAA_vs_Performance,ssim,705,paired_t_test,-48.38966524701494,4.262323044379019e-226,True,True,-0.1647274557157611,-0.17141102959072316,-0.15804388184079907,-1.822460227399023,large
1080p_DLAA_vs_Performance,lpips,705,paired_t_test,67.84845580657012,4.9614559426564e-311,True,True,0.1863266872123201,0.18093492817947712,0.19171844624516307,2.5553206778082047,large
1080p_DLAA_vs_Performance,flip,705,paired_t_test,29.133234286772176,4.8634631180449975e-123,True,True,5.906928482546029,5.508850285973711,6.305006679118346,1.0972210804127251,large
1440p_DLAA_vs_Performance,ssim,704,paired_t_test,-38.63293618957793,5.216249944953275e-176,True,True,-0.15642419302391566,-0.16437374494452758,-0.14847464110330374,-1.4560335669383233,large
1440p_DLAA_vs_Performance,lpips,704,paired_t_test,65.58627487062112,7.740638516813412e-302,True,True,0.19574836215046656,0.1898885780384683,0.20160814626246484,2.4718757402609706,large
1440p_DLAA_vs_Performance,flip,704,paired_t_test,28.19091814273262,1.43054269008301e-117,True,True,5.7176982299001375,5.3194916302020445,6.115904829598231,1.062485204262123,large
1080p_DLAA_vs_Ultra_Performance,ssim,705,paired_t_test,-46.61530011110705,2.1788057760093492e-217,True,True,-0.16958856696778155,-0.17673128433463323,-0.16244584960092986,-1.7556337702915297,large
1080p_DLAA_vs_Ultra_Performance,lpips,705,paired_t_test,65.93390114908424,1.8145986636032552e-303,True,True,0.20566514864669624,0.19954097761323158,0.2117893196801609,2.483214377865061,large
1080p_DLAA_vs_Ultra_Performance,flip,705,paired_t_test,27.29126211649205,1.954961454027291e-112,True,True,6.2357155072773605,5.787116764221858,6.6843142503328625,1.027848395084664,large
1440p_DLAA_Consistency,ssim,704,paired_t_test,-52.63377916565393,4.576067143707407e-246,True,True,-0.18473313786936077,-0.1916240497609144,-0.17784222597780713,-1.9837101908056747,large
1440p_DLAA_Consistency,lpips,704,paired_t_test,62.45817237574452,4.228025479823433e-289,True,True,0.19898770188658751,0.19273261411386408,0.20524278965931095,2.3539809416100574,large
1440p_DLAA_Consistency,flip,704,paired_t_test,28.221289541472657,9.56652310508533e-118,True,True,6.4251723102378575,5.978175557321963,6.872169063153752,1.063629869420975,large
1080p_DLAA_Consistency,ssim,705,paired_t_test,-34.1082187585894,2.8367390521188677e-151,True,True,-0.13615858051793794,-0.14399614912109596,-0.12832101191477993,-1.284589835404762,large
1080p_DLAA_Consistency,lpips,705,paired_t_test,50.25304112111535,4.649654855609483e-235,True,True,0.1461838698609078,0.14047260257210847,0.15189513714970715,1.8926390228485817,large
1080p_DLAA_Consistency,flip,705,paired_t_test,26.814371614757263,1.1014282024157497e-109,True,True,4.9156496565392676,4.555727420134459,5.275571892944076,1.0098876597127733,large
