comparison,resolution,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,x_dw,y_dw,x_autocorr,y_autocorr,effective_n,x_autocorr_interpretation,y_autocorr_interpretation
1080p_DLAA_vs_Quality,1080p,ssim,241,0.08665944714137913,0.17997055415254362,0.0843104112065225,0.1921080638187317,0.0010589916174327768,9.149274144445764e-05,0.9994705041912836,0.9999542536292778,80.34873999476991,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,lpips,241,-0.018297761968486426,0.777480061004151,-0.05435835544915756,0.4008508907889371,0.0010589916174327768,0.0033451183302403544,0.9994705041912836,0.9983274408348798,80.39234278609683,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,flip,241,-0.1261206428724371,0.05051760270253811,-0.20362476356594977,0.0014827777790103035,0.0010589916174327768,0.003456489753728999,0.9994705041912836,0.9982717551231355,80.39383614491143,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,ssim,241,0.4874180337232121,8.734682931744206e-16,0.36160449473936357,7.41522514973868e-09,0.0010728516709865858,0.00035483003689462173,0.9994635741645067,0.9998225849815527,80.35245295454443,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,lpips,241,-0.26570429089310765,2.9311175327879267e-05,-0.1190443892896348,0.065034082260016,0.0010728516709865858,0.003610459801331495,0.9994635741645067,0.9981947700993342,80.39608665249152,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,flip,241,-0.4786344087040016,3.336528022567391e-15,-0.35457757495443365,1.5057829050099994e-08,0.0010728516709865858,0.01200841207269327,0.9994635741645067,0.9939957939636533,80.5088596043646,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,ssim,241,0.06312992716442117,0.3291048690755699,0.003436153600228089,0.9576791103010875,0.0008124601542820044,5.031852914809994e-05,0.999593769922859,0.999974840735426,80.3448866425863,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,lpips,241,0.09768196927500267,0.13049155245632235,0.13422048965003233,0.0373187131330834,0.0008124601542820044,0.0013749850172411937,0.999593769922859,0.9993125074913795,80.36263147503182,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,flip,241,-0.06462698186208851,0.3177417850521113,-0.07069516265472388,0.2743295358223562,0.0008124601542820044,0.0017418605248823175,0.999593769922859,0.9991290697375589,80.36754741471586,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,ssim,241,0.019126518706706536,0.767683217769175,0.004126217482246162,0.9491905079666432,0.0004563788262526664,0.00010955833193247869,0.9997718105868737,0.9999452208340338,80.34091131783953,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,lpips,241,0.0501601483697226,0.43826021658742764,0.015426358500191351,0.8116867613697427,0.0004563788262526664,0.0048523528584338985,0.9997718105868737,0.9975738235707831,80.40447429671492,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,flip,241,-0.08921147903358098,0.16743638465179683,-0.11819799129043289,0.06697933417820012,0.0004563788262526664,0.005088732095042868,0.9997718105868737,0.9974556339524786,80.40764488496788,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,ssim,241,0.4336384651478955,1.8069116379552684e-12,0.3903568495197159,3.399810676790606e-10,0.0006045476265175943,0.00029544565996646876,0.9996977261867412,0.9998522771700168,80.345385051191,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,lpips,241,-0.25215729465363773,7.547458078347e-05,-0.145203367446929,0.024170778255867578,0.0006045476265175943,0.0036324460044257177,0.9996977261867412,0.9981837769977872,80.39010205840205,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,flip,241,-0.46744526942289494,1.7418400286362984e-14,-0.3903259754404883,3.4116396005491083e-10,0.0006045476265175943,0.009349568903314018,0.9996977261867412,0.995325215548343,80.46682936604928,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,ssim,241,-0.19251938489013476,0.0026883649683217417,-0.23284076430549597,0.0002662418124577018,0.0005134622988488596,3.6051043149633874e-05,0.9997432688505755,0.9999819744784252,80.34069138030314,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,lpips,241,0.29002481829858595,4.69981651944412e-06,0.24611612380089493,0.00011318619777835813,0.0005134622988488596,0.0013236410888739579,0.9997432688505755,0.999338179455563,80.35793763991146,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
