comparison,resolution,mode,ssim,psnr,lpips,flip
1080p_DLAA_vs_Quality,1080p,Quality,0.8596214268712087,27.37000038985873,0.15140767546981201,3.148471896579157
1440p_DLAA_vs_Ultra_Performance,1440p,Ultra_Performance,0.9146359703847482,30.057833866217834,0.1545326051252017,2.345769537435033
1080p_DLAA_vs_Balanced,1080p,Balanced,0.8331942338171836,25.7371517125504,0.21651577807313674,4.10978701599406
1440p_DLAA_vs_Balanced,1440p,Balanced,0.8610388935848885,27.12789415136231,0.17022392815326753,3.3103902790061666
1440p_DLAA_vs_Quality,1440p,Quality,0.8949218998311467,28.70484428709925,0.14744482081213434,2.6455928487896423
4K_DLAA_vs_Performance,4K,Performance,0.8384310815838857,24.05123954163195,0.31284869916706165,5.0760221501109015
1080p_DLAA_vs_Performance,1080p,Performance,0.892989515268951,28.57733893224649,0.1491329291549461,2.6932873938588187
4K_DLAA_vs_Balanced,4K,Balanced,0.8490016413427487,24.84173284380026,0.25388778585368665,4.311108067817213
1440p_DLAA_vs_Performance,1440p,Performance,0.8643004144870394,27.191779569523725,0.1701655194657967,3.226076753307675
4K_DLAA_vs_Quality,4K,Quality,0.8500800837619671,24.869313335164325,0.2473285623605815,4.241091600592205
4K_DLAA_vs_Ultra_Performance,4K,Ultra_Performance,0.8582841749013213,25.30740503998512,0.23346877388687054,3.9873320729900694
1080p_DLAA_vs_Ultra_Performance,1080p,Ultra_Performance,0.8502442270393689,26.579300662035255,0.20031708553124267,3.648498708281774
