resolution,mode,ssim,ssim_rank,psnr,psnr_rank,lpips,lpips_rank,flip,flip_rank
1080p,Quality,0.8596214268712087,2,27.37000038985873,2,0.15140767546981201,2,3.148471896579157,2
1080p,Balanced,0.8331942338171836,4,25.7371517125504,4,0.21651577807313674,4,4.10978701599406,4
1080p,Performance,0.892989515268951,1,28.57733893224649,1,0.1491329291549461,1,2.6932873938588187,1
1080p,Ultra_Performance,0.8502442270393689,3,26.579300662035255,3,0.20031708553124267,3,3.648498708281774,3
1440p,Ultra_Performance,0.9146359703847482,1,30.057833866217834,1,0.1545326051252017,2,2.345769537435033,1
1440p,Balanced,0.8610388935848885,4,27.12789415136231,4,0.17022392815326753,4,3.3103902790061666,4
1440p,Quality,0.8949218998311467,2,28.70484428709925,2,0.14744482081213434,1,2.6455928487896423,2
1440p,Performance,0.8643004144870394,3,27.191779569523725,3,0.1701655194657967,3,3.226076753307675,3
4K,Performance,0.8384310815838857,4,24.05123954163195,4,0.31284869916706165,4,5.0760221501109015,4
4K,Balanced,0.8490016413427487,3,24.84173284380026,3,0.25388778585368665,3,4.311108067817213,3
4K,Quality,0.8500800837619671,2,24.869313335164325,2,0.2473285623605815,2,4.241091600592205,2
4K,Ultra_Performance,0.8582841749013213,1,25.30740503998512,1,0.23346877388687054,1,3.9873320729900694,1
