resolution,metric,effect_size,effect_label,std_dev,n_required
1440p,SSIM,0.2,small,0.022639430529842776,197
1440p,SSIM,0.5,medium,0.022639430529842776,32
1440p,SSIM,0.8,large,0.022639430529842776,13
1440p,SSIM,1.0,very_large,0.022639430529842776,8
1440p,LPIPS,0.2,small,0.026023615353143303,197
1440p,LPIPS,0.5,medium,0.026023615353143303,32
1440p,LPIPS,0.8,large,0.026023615353143303,13
1440p,LPIPS,1.0,very_large,0.026023615353143303,8
1080p,SSIM,0.2,small,0.024656261249695378,197
1080p,SSIM,0.5,medium,0.024656261249695378,32
1080p,SSIM,0.8,large,0.024656261249695378,13
1080p,SSIM,1.0,very_large,0.024656261249695378,8
1080p,LPIPS,0.2,small,0.028768688010971714,197
1080p,LPIPS,0.5,medium,0.028768688010971714,32
1080p,LPIPS,0.8,large,0.028768688010971714,13
1080p,LPIPS,1.0,very_large,0.028768688010971714,8
4K,SSIM,0.2,small,0.023994103178069652,197
4K,SSIM,0.5,medium,0.023994103178069652,32
4K,SSIM,0.8,large,0.023994103178069652,13
4K,SSIM,1.0,very_large,0.023994103178069652,8
4K,LPIPS,0.2,small,0.04493365965531405,197
4K,LPIPS,0.5,medium,0.04493365965531405,32
4K,LPIPS,0.8,large,0.04493365965531405,13
4K,LPIPS,1.0,very_large,0.04493365965531405,8
