comparison,metric,n_samples,test,statistic,p_value,significant,significant_bonferroni,mean_difference,ci_95_lower,ci_95_upper,cohens_d,effect_magnitude
1080p_DLAA_vs_Quality,ssim,241,paired_t_test,-101.8723202711161,1.6469355808516483e-199,True,True,-0.14037857312879126,-0.14309306336996547,-0.13766408288761706,-6.562173014946712,large
1080p_DLAA_vs_Quality,lpips,241,paired_t_test,83.51704567856248,2.264409565268489e-179,True,True,0.15140767546981201,0.14783645693092565,0.15497889400869838,5.379805839126689,large
1080p_DLAA_vs_Quality,flip,241,paired_t_test,78.26107325244801,7.778071986121182e-173,True,True,3.148471896579157,3.0692221867883474,3.2277216063699665,5.041238892480521,large
1440p_DLAA_vs_Ultra_Performance,ssim,241,paired_t_test,-59.75864540343311,4.214559373295776e-146,True,True,-0.08536402961525184,-0.08817798898337972,-0.08255007024712396,-3.8493927421358984,large
1440p_DLAA_vs_Ultra_Performance,lpips,241,paired_t_test,88.24391816820624,6.265367777757818e-185,True,True,0.1545326051252017,0.15108292360949685,0.15798228664090655,5.684290462762271,large
1440p_DLAA_vs_Ultra_Performance,flip,241,paired_t_test,63.58686337128748,3.434457878830203e-152,True,True,2.345769537435033,2.2730984601207744,2.418440614749292,4.095989939265911,large
1080p_DLAA_vs_Balanced,ssim,241,paired_t_test,-100.15907364288564,8.790878461434689e-198,True,True,-0.16680576618281637,-0.1700864503222495,-0.16352508204338323,-6.45181309812336,large
1080p_DLAA_vs_Balanced,lpips,241,paired_t_test,111.48424507858432,1.0300339353357242e-208,True,True,0.21651577807313674,0.21269000054840922,0.22034155559786425,7.181331520666431,large
1080p_DLAA_vs_Balanced,flip,241,paired_t_test,76.10205327509333,4.945832938099832e-170,True,True,4.10978701599406,4.00340539585292,4.2161686361352,4.902164189986041,large
1440p_DLAA_vs_Balanced,ssim,241,paired_t_test,-102.0998725667393,9.757523081745593e-200,True,True,-0.1389611064151115,-0.14164219844797085,-0.13628001438225215,-6.576830946854552,large
1440p_DLAA_vs_Balanced,lpips,241,paired_t_test,89.28296545957419,4.0996725204258616e-186,True,True,0.17022392815326753,0.1664681869345884,0.17397966937194667,5.7512213825501215,large
1440p_DLAA_vs_Balanced,flip,241,paired_t_test,82.36839219194005,5.623157840728995e-178,True,True,3.3103902790061666,3.231219983116499,3.389560574895834,5.305814563642064,large
1440p_DLAA_vs_Quality,ssim,241,paired_t_test,-69.09086823385411,2.1373260775858472e-160,True,True,-0.10507810016885338,-0.1080740547184512,-0.10208214561925556,-4.450534059662379,large
1440p_DLAA_vs_Quality,lpips,241,paired_t_test,78.22958327432546,8.535794835204187e-173,True,True,0.14744482081213434,0.14373201560897383,0.15115762601529484,5.039210444673235,large
1440p_DLAA_vs_Quality,flip,241,paired_t_test,62.96220628928801,3.2128722298351835e-151,True,True,2.6455928487896423,2.562820223696758,2.7283654738825267,4.055752239406095,large
4K_DLAA_vs_Performance,ssim,241,paired_t_test,-108.56238333953965,5.338674313769891e-206,True,True,-0.16156891841611426,-0.16450063583516003,-0.1586372009970685,-6.993117860603162,large
4K_DLAA_vs_Performance,lpips,241,paired_t_test,144.00452048135386,5.3610951003897686e-235,True,True,0.31284869916706165,0.30856911189740005,0.31712828643672325,9.276146609973825,large
4K_DLAA_vs_Performance,flip,241,paired_t_test,86.52608493229299,6.0787152367978886e-183,True,True,5.0760221501109015,4.960458802515547,5.191585497706256,5.573635096565761,large
1080p_DLAA_vs_Performance,ssim,241,paired_t_test,-73.98420447331196,3.2826196546766887e-167,True,True,-0.10701048473104896,-0.10985973751819011,-0.1041612319439078,-4.765741556047789,large
