comparison,resolution,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,x_dw,y_dw,x_autocorr,y_autocorr,effective_n,x_autocorr_interpretation,y_autocorr_interpretation
1080p_DLAA_vs_Quality,1080p,ssim,525,0.051556278013513764,0.23829012497791469,0.06158440766811429,0.1588202786843115,0.00031830974926078234,0.001486412279641644,0.9998408451253696,0.9992567938601792,175.0526535633506,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,lpips,525,-0.15178674425966077,0.0004833420590261363,-0.1438013612632851,0.0009523482054495674,0.00031830974926078234,0.01731210920205933,0.9998408451253696,0.9913439453989703,175.5157359930177,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,flip,525,-0.1273589383547305,0.003465471885159188,-0.025769677370787766,0.555762039019228,0.00031830974926078234,0.04383939095237388,0.9998408451253696,0.9780803045238131,176.29748190674835,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,ssim,525,-0.12251751498375596,0.004936704723231686,-0.06925589049825993,0.11297248269240491,0.03840499720363974,0.002705287176656815,0.9807975013981801,0.9986473564116716,176.20732218750314,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,lpips,525,0.03377477296921424,0.4399645821377216,0.08629384846915494,0.0481304060181696,0.03840499720363974,0.03254325321388975,0.9807975013981801,0.9837283733930551,177.0940859259564,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,flip,525,0.02414598251753199,0.5809375741916357,0.09141387985378506,0.03626456466275081,0.03840499720363974,0.2614821868721454,0.9807975013981801,0.8692589065639273,184.20688044395368,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,ssim,525,-0.05257498855282783,0.22912928249095496,0.02612118909155191,0.5503825750487231,0.03940655281361235,0.0038270445008985886,0.9802967235931939,0.9980864777495507,176.2701319841296,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,lpips,525,-0.08402126476524333,0.054356658086283975,-0.2421062339149037,1.9327088870028333e-08,0.03940655281361235,0.04033127923300457,0.9802967235931939,0.9798343603834977,177.35701058708045,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,flip,525,-0.010078909312040155,0.8177870034561904,0.028848921660444355,0.5095275256925449,0.03940655281361235,0.20371969888575248,0.9802967235931939,0.8981401505571238,182.39065956760788,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,ssim,525,-0.17744191204811155,4.341674924242948e-05,-0.1929320912480771,8.507924178875174e-06,0.00022744350295070671,0.001327584431166153,0.9998862782485246,0.9993362077844169,175.04536673916954,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,lpips,525,0.08780310739386897,0.04433478278365528,0.10785644770041522,0.013412371069147725,0.00022744350295070671,0.009394840835801976,0.9998862782485246,0.995302579582099,175.2811007651286,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,flip,525,0.006192318478297723,0.8874378264190105,0.12273380413035381,0.004860513772841388,0.00022744350295070671,0.0825453549064961,0.9998862782485246,0.958727322546752,177.44797761319012,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,ssim,525,-0.052696856248507756,0.22805034706755048,-0.011032312673362604,0.800896377400233,0.12135554066877614,0.003375187869322862,0.939322229665612,0.9983124060653386,178.71521312226358,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,lpips,525,-0.030097859647062592,0.4913641604267817,-0.10081117235347127,0.02087395434427613,0.12135554066877614,0.028922715673629907,0.939322229665612,0.9855386421631851,179.49571723448807,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,flip,525,-0.036896242979243016,0.39885307765796923,-0.04511315587766336,0.3021968510068344,0.12135554066877614,0.22734735520634228,0.939322229665612,0.8863263223968288,185.79805319978755,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,ssim,525,-0.007036989064576978,0.8722073325914192,0.027127404558704278,0.5351264361912722,0.09036627374099286,0.0010561835228007587,0.9548168631295035,0.9994719082385997,177.70774647627877,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,lpips,525,-0.1005271448185606,0.021238682450684873,-0.18525187638084464,1.9410670928810043e-05,0.09036627374099286,0.008958437149613554,0.9548168631295035,0.9955207814251932,177.9457347768207,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Performance,4K,flip,525,-0.10030090129415928,0.02153315657751451,-0.08180055281028523,0.06107412617171985,0.09036627374099286,0.02997065746084296,0.9548168631295035,0.9850146712695785,178.5816615193608,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Performance,1080p,ssim,525,-0.14513393619827133,0.0008524274065978009,-0.07426902804997658,0.08912914181372593,0.03981852855663208,0.0008463758615263705,0.9800907357216839,0.9995768120692368,176.194153065575,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Performance,1080p,lpips,525,0.09503949528956199,0.029453086837117004,-0.020997508883066143,0.6312135066691391,0.03981852855663208,0.006332879914499097,0.9800907357216839,0.9968335600427505,176.35651694165335,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Performance,1080p,flip,525,0.030169002223706557,0.4903400704447528,0.040237870385832715,0.3574993155298334,0.03981852855663208,0.012216609057360186,0.9800907357216839,0.99389169547132,176.53096887643613,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Balanced,4K,ssim,525,0.25460813492695633,3.264771683251711e-09,0.2575868908203518,2.106822902522875e-09,0.00029273231975232334,0.010537885490525001,0.9998536338401238,0.9947310572547375,175.3164642700597,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Balanced,4K,lpips,525,-0.3529498270325928,7.57836778074287e-17,-0.34182940508650256,7.780115801507052e-16,0.00029273231975232334,0.04230557650935739,0.9998536338401238,0.9788472117453213,176.25133479854856,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
