comparison,resolution,mode,ssim,psnr,lpips,flip
1080p_DLAA_vs_Quality,1080p,Quality,0.6763789934203738,21.39242016204242,0.19480032143138704,7.785552776086898
1440p_DLAA_vs_Ultra_Performance,1440p,Ultra_Performance,0.6792951425484248,21.728913948628513,0.18785373787085216,7.744643345617113
1080p_DLAA_vs_Balanced,1080p,Balanced,0.8113334300972167,24.8561907395922,0.13504953723578225,5.255153407028743
1440p_DLAA_vs_Balanced,1440p,Balanced,0.6288474744842166,20.210977184920544,0.2410400805870692,9.127401481242407
1440p_DLAA_vs_Quality,1440p,Quality,0.7376762995833442,23.147559068033587,0.1594740986469246,6.283624222420511
4K_DLAA_vs_Performance,4K,Performance,0.6290876572472709,19.84700511366562,0.2739780842690241,9.583297929479963
1080p_DLAA_vs_Performance,1080p,Performance,0.6234398902030218,20.20618095284034,0.24081798607394808,9.341831027212598
4K_DLAA_vs_Balanced,4K,Balanced,0.7937513106209891,24.151146808155648,0.15061639015163694,5.396288121087211
1440p_DLAA_vs_Performance,1440p,Performance,0.7040391288484846,22.289555022538906,0.1811198650229545,7.1909407478854765
4K_DLAA_vs_Quality,4K,Quality,0.6564612615676153,20.866164619853574,0.22906547175986428,8.384255347365425
4K_DLAA_vs_Ultra_Performance,4K,Ultra_Performance,0.6176599697839646,19.345195531560133,0.3226119801260176,10.372803668408167
1080p_DLAA_vs_Ultra_Performance,1080p,Ultra_Performance,0.7558031805356343,23.551292223933302,0.14489361513228644,6.178653533799308
