resolution,mode,ssim,ssim_rank,psnr,psnr_rank,lpips,lpips_rank,flip,flip_rank
1080p,Quality,0.6763789934203738,3,21.39242016204242,3,0.19480032143138704,3,7.785552776086898,3
1080p,Balanced,0.8113334300972167,1,24.8561907395922,1,0.13504953723578225,1,5.255153407028743,1
1080p,Performance,0.6234398902030218,4,20.20618095284034,4,0.24081798607394808,4,9.341831027212598,4
1080p,Ultra_Performance,0.7558031805356343,2,23.551292223933302,2,0.14489361513228644,2,6.178653533799308,2
1440p,Ultra_Performance,0.6792951425484248,3,21.728913948628513,3,0.18785373787085216,3,7.744643345617113,3
1440p,Balanced,0.6288474744842166,4,20.210977184920544,4,0.2410400805870692,4,9.127401481242407,4
1440p,Quality,0.7376762995833442,1,23.147559068033587,1,0.1594740986469246,1,6.283624222420511,1
1440p,Performance,0.7040391288484846,2,22.289555022538906,2,0.1811198650229545,2,7.1909407478854765,2
4K,Performance,0.6290876572472709,3,19.84700511366562,3,0.2739780842690241,3,9.583297929479963,3
4K,Balanced,0.7937513106209891,1,24.151146808155648,1,0.15061639015163694,1,5.396288121087211,1
4K,Quality,0.6564612615676153,2,20.866164619853574,2,0.22906547175986428,2,8.384255347365425,2
4K,Ultra_Performance,0.6176599697839646,4,19.345195531560133,4,0.3226119801260176,4,10.372803668408167,4
