resolution,metric,effect_size,effect_label,std_dev,n_required
1440p,SSIM,0.2,small,0.06385549787115194,197
1440p,SSIM,0.5,medium,0.06385549787115194,32
1440p,SSIM,0.8,large,0.06385549787115194,13
1440p,SSIM,1.0,very_large,0.06385549787115194,8
1440p,LPIPS,0.2,small,0.07491841110983144,197
1440p,LPIPS,0.5,medium,0.07491841110983144,32
1440p,LPIPS,0.8,large,0.07491841110983144,13
1440p,LPIPS,1.0,very_large,0.07491841110983144,8
1080p,SSIM,0.2,small,0.059687161837194906,197
1080p,SSIM,0.5,medium,0.059687161837194906,32
1080p,SSIM,0.8,large,0.059687161837194906,13
1080p,SSIM,1.0,very_large,0.059687161837194906,8
1080p,LPIPS,0.2,small,0.06550874956380977,197
1080p,LPIPS,0.5,medium,0.06550874956380977,32
1080p,LPIPS,0.8,large,0.06550874956380977,13
1080p,LPIPS,1.0,very_large,0.06550874956380977,8
4K,SSIM,0.2,small,0.08444702136163264,197
4K,SSIM,0.5,medium,0.08444702136163264,32
4K,SSIM,0.8,large,0.08444702136163264,13
4K,SSIM,1.0,very_large,0.08444702136163264,8
4K,LPIPS,0.2,small,0.05812977795269842,197
4K,LPIPS,0.5,medium,0.05812977795269842,32
4K,LPIPS,0.8,large,0.05812977795269842,13
4K,LPIPS,1.0,very_large,0.05812977795269842,8
