comparison,metric,n_samples,test,statistic,p_value,significant,significant_bonferroni,mean_difference,ci_95_lower,ci_95_upper,cohens_d,effect_magnitude
1080p_DLAA_vs_Quality,ssim,525,paired_t_test,-114.00206175854846,0.0,True,True,-0.32362100657962617,-0.3291976948302132,-0.3180443183290391,-4.975457879900751,large
1080p_DLAA_vs_Quality,lpips,525,paired_t_test,77.13752641508466,3.121715256647368e-288,True,True,0.19480032143138704,0.18983924029818508,0.199761402564589,3.3665576544645814,large
1080p_DLAA_vs_Quality,flip,525,paired_t_test,66.8957516899984,8.365348593999414e-259,True,True,7.785552776086898,7.556917476344522,8.014188075829273,2.9195699599084546,large
1440p_DLAA_vs_Ultra_Performance,ssim,525,paired_t_test,-117.30810911199761,0.0,True,True,-0.3207048574515751,-0.3260755448127046,-0.3153341700904456,-5.1197456155987435,large
1440p_DLAA_vs_Ultra_Performance,lpips,525,paired_t_test,63.862320846049585,2.1438845797384331e-249,True,True,0.18785373787085216,0.1820750729534451,0.19363240278825922,2.787180184119795,large
1440p_DLAA_vs_Ultra_Performance,flip,525,paired_t_test,43.739038173872416,4.991454631979763e-177,True,True,7.744643345617113,7.396799308890992,8.092487382343235,1.9089281262507944,large
1080p_DLAA_vs_Balanced,ssim,525,paired_t_test,-68.92976600982415,6.316280959450691e-265,True,True,-0.18866656990278335,-0.19404357586453597,-0.18328956394103074,-3.0083416226248887,large
1080p_DLAA_vs_Balanced,lpips,525,paired_t_test,70.64736455949506,5.52709697735566e-270,True,True,0.13504953723578225,0.1312941951586771,0.1388048793128874,3.083303768981206,large
1080p_DLAA_vs_Balanced,flip,525,paired_t_test,40.4604056961735,2.4266875984672e-163,True,True,5.255153407028743,4.999996379746737,5.51031043431075,1.765836873822262,large
1440p_DLAA_vs_Balanced,ssim,525,paired_t_test,-159.63124673485115,0.0,True,True,-0.3711525255157834,-0.3757201130922748,-0.36658493793929203,-6.966878775644074,large
1440p_DLAA_vs_Balanced,lpips,525,paired_t_test,97.7503127317291,0.0,True,True,0.2410400805870692,0.23619586484255964,0.24588429633157874,4.266173402845277,large
1440p_DLAA_vs_Balanced,flip,525,paired_t_test,64.05373906782476,5.337086878016111e-250,True,True,9.127401481242407,8.84746787678911,9.407335085695703,2.795534360221496,large
1440p_DLAA_vs_Quality,ssim,525,paired_t_test,-89.79326956175026,2.2707e-320,True,True,-0.26232370041665576,-0.26806283108784024,-0.2565845697454713,-3.91889956823138,large
1440p_DLAA_vs_Quality,lpips,525,paired_t_test,72.17003675536637,2.1936657329381031e-274,True,True,0.1594740986469246,0.15513314050424673,0.16381505678960248,3.1497586318020154,large
1440p_DLAA_vs_Quality,flip,525,paired_t_test,43.411864504281425,1.0915278451305751e-175,True,True,6.283624222420511,5.999273631677125,6.567974813163897,1.8946490966670118,large
4K_DLAA_vs_Performance,ssim,525,paired_t_test,-186.14218208261138,0.0,True,True,-0.37091234275272916,-0.374826865790179,-0.36699781971527934,-8.12391085159828,large
4K_DLAA_vs_Performance,lpips,525,paired_t_test,100.85926849814723,0.0,True,True,0.2739780842690241,0.2686416350742227,0.2793145334638255,4.401859356482236,large
4K_DLAA_vs_Performance,flip,525,paired_t_test,76.29715781706082,6.078889261581127e-286,True,True,9.583297929479963,9.336546885813892,9.830048973146035,3.329880961968313,large
1080p_DLAA_vs_Performance,ssim,525,paired_t_test,-155.38330657161808,0.0,True,True,-0.3765601097969782,-0.38132093593236854,-0.3717992836615878,-6.781483467590181,large
1080p_DLAA_vs_Performance,lpips,525,paired_t_test,86.20373061400265,1.128975852757e-311,True,True,0.24081798607394808,0.23532997185938706,0.2463060002885091,3.7622392450118975,large
1080p_DLAA_vs_Performance,flip,525,paired_t_test,77.23227148995367,1.7281828435486208e-288,True,True,9.341831027212598,9.104209617531572,9.579452436893623,3.370692668534215,large
4K_DLAA_vs_Balanced,ssim,525,paired_t_test,-59.77873242124902,3.602262870522403e-236,True,True,-0.2062486893790109,-0.21302661602196105,-0.19947076273606074,-2.6089577739893755,large
4K_DLAA_vs_Balanced,lpips,525,paired_t_test,64.00314094348788,7.705454374161064e-250,True,True,0.15061639015163694,0.1459933963020713,0.15523938400120257,2.7933260770329573,large
4K_DLAA_vs_Balanced,flip,525,paired_t_test,46.82513355189751,2.1815029207767475e-189,True,True,5.396288121087211,5.169892264934951,5.62268397723947,2.043616370742731,large
1440p_DLAA_vs_Performance,ssim,525,paired_t_test,-106.1850702482699,0.0,True,True,-0.2959608711515154,-0.3014363638830629,-0.29048537841996797,-4.634296400827621,large
1440p_DLAA_vs_Performance,lpips,525,paired_t_test,67.58387471625527,6.838744655021554e-261,True,True,0.1811198650229545,0.17585514394730936,0.18638458609859962,2.9496021109109707,large
1440p_DLAA_vs_Performance,flip,525,paired_t_test,49.012464029777796,7.53426528029269e-198,True,True,7.1909407478854765,6.902715818015871,7.479165677755082,2.1390792991691154,large
4K_DLAA_vs_Quality,ssim,525,paired_t_test,-161.54416749550228,0.0,True,True,-0.3435387384323847,-0.3477164341254829,-0.33936104273928647,-7.0503654821596555,large
4K_DLAA_vs_Quality,lpips,525,paired_t_test,89.33876502289745,2.7567e-319,True,True,0.22906547175986428,0.22402847055837935,0.2341024729613492,3.89906336391715,large
4K_DLAA_vs_Quality,flip,525,paired_t_test,79.09818331592777,1.711237616317436e-293,True,True,8.384255347365425,8.176021963763645,8.592488730967204,3.4521277369403065,large
4K_DLAA_vs_Ultra_Performance,ssim,525,paired_t_test,-211.8837655251954,0.0,True,True,-0.3823400302160354,-0.385884934033933,-0.37879512639813784,-9.247365657633166,large
4K_DLAA_vs_Ultra_Performance,lpips,525,paired_t_test,120.35679471826148,0.0,True,True,0.3226119801260176,0.3173462057604209,0.3278777544916143,5.252801163797091,large
4K_DLAA_vs_Ultra_Performance,flip,525,paired_t_test,75.26528895055723,4.2066643077619043e-283,True,True,10.372803668408167,10.10206281527349,10.643544521542845,3.2848465125585897,large
1080p_DLAA_vs_Ultra_Performance,ssim,525,paired_t_test,-84.78719264586535,3.7283434450362747e-308,True,True,-0.24419681946436564,-0.2498548086878397,-0.23853883024089156,-3.700416459642677,large
1080p_DLAA_vs_Ultra_Performance,lpips,525,paired_t_test,81.09340024189315,9.806693152185889e-299,True,True,0.14489361513228644,0.14138354247682092,0.14840368778775195,3.539206142569768,large
1080p_DLAA_vs_Ultra_Performance,flip,525,paired_t_test,57.570112345572255,9.855590172461925e-229,True,True,6.178653533799308,5.967815414061589,6.389491653537026,2.512565691339967,large
1440p_DLAA_Consistency,ssim,525,paired_t_test,-126.76829982378877,0.0,True,True,-0.35362529081957683,-0.35910534712089553,-0.34814523451825813,-5.5326221872701815,large
1440p_DLAA_Consistency,lpips,525,paired_t_test,57.337122807639886,6.170958327057439e-228,True,True,0.1876544254450571,0.1812249538322033,0.19408389705791088,2.5023971942570356,large
1440p_DLAA_Consistency,flip,525,paired_t_test,44.95760088761945,5.7305588798189034e-182,True,True,8.487498962084452,8.116622753008201,8.858375171160702,1.9621105631536189,large
1080p_DLAA_Consistency,ssim,525,paired_t_test,-142.8210317933675,0.0,True,True,-0.37239809541475205,-0.37752042658807955,-0.36727576424142455,-6.233220847855249,large
1080p_DLAA_Consistency,lpips,525,paired_t_test,68.0433371261398,2.821751429673219e-262,True,True,0.19472390540298962,0.1891019676246163,0.20034584318136292,2.9696546944565205,large
1080p_DLAA_Consistency,flip,525,paired_t_test,72.97710601183711,1.093898703140755e-276,True,True,8.806222114562988,8.56916370476393,9.043280524362046,3.1849820218862903,large
4K_DLAA_Consistency,ssim,525,paired_t_test,-64.35576315854006,5.988206030306461e-251,True,True,-0.23741389706021263,-0.24466111064351598,-0.23016668347690927,-2.8087157721967633,large
4K_DLAA_Consistency,lpips,525,paired_t_test,54.68065732215718,1.1029547046762276e-218,True,True,0.13885667037396204,0.13386799333621152,0.14384534741171257,2.386459535511682,large
4K_DLAA_Consistency,flip,525,paired_t_test,55.42306737893934,2.6616013429505073e-221,True,True,5.9300878822803496,5.7198926117641795,6.14028315279652,2.4188609667678787,large
